east_err(m),north_err(m),up_err(m),2d_err(m),3d_err(m)
4.460155393476017052e+05,2.549481860092417337e+06,6.495516668993431143e+06,2.588201618166526314e+06,6.992175942684175447e+06
4.460154494471240323e+05,2.549482427342621144e+06,6.495515864881291054e+06,2.588202161438388284e+06,6.992175396784529090e+06
4.460156634088118444e+05,2.549482893054158892e+06,6.495514730318894610e+06,2.588202657054081559e+06,6.992174526266600005e+06
4.460158501620365423e+05,2.549483463817169890e+06,6.495513484820144251e+06,2.588203251460935455e+06,6.992173589260588400e+06
4.460163814987713122e+05,2.549483853967824019e+06,6.495512900425630622e+06,2.588203727338303346e+06,6.992173222525574267e+06
4.460170194853739813e+05,2.549484284185417462e+06,6.495511989927211776e+06,2.588204261061913799e+06,6.992172574262395501e+06
4.460175173414962483e+05,2.549485051564153284e+06,6.495511535680663772e+06,2.588205102754521649e+06,6.992172463840199634e+06
4.460183292307614465e+05,2.549485482522980310e+06,6.495511180384247564e+06,2.588205667176631745e+06,6.992172342705948278e+06
4.460187026273768861e+05,2.549485933241395745e+06,6.495510209042931907e+06,2.588206175498613622e+06,6.992171628519291058e+06
4.460194517320377636e+05,2.549486120174649637e+06,6.495509467870208435e+06,2.588206488726611715e+06,6.992171055936636403e+06
4.460206943847826915e+05,2.549487035129164811e+06,6.495507569713105448e+06,2.588207604136728216e+06,6.992169705485660583e+06
4.460213718986249878e+05,2.549487282737989444e+06,6.495506958127115853e+06,2.588207964795925654e+06,6.992169270842265338e+06
4.460219053527172073e+05,2.549487560816647019e+06,6.495505949662391096e+06,2.588208330643668305e+06,6.992168469431553967e+06
4.460228179801127408e+05,2.549487948912756518e+06,6.495505753645190038e+06,2.588208870205473620e+06,6.992168487060938962e+06
4.460233603656643536e+05,2.549488322621069383e+06,6.495504804877944291e+06,2.588209331791590899e+06,6.992167776545806788e+06
4.460239899464630289e+05,2.549488547590032220e+06,6.495504679344196804e+06,2.588209661889951210e+06,6.992167782117564231e+06
4.460244694929820253e+05,2.549488807760166004e+06,6.495503982762001455e+06,2.588210000807671808e+06,6.992167260467806831e+06
4.460260174520411529e+05,2.549489307984267361e+06,6.495501901171129197e+06,2.588210760307249147e+06,6.992165607870566659e+06
4.460264811699164566e+05,2.549490016710946802e+06,6.495501053442482837e+06,2.588211538343340624e+06,6.992165108354208060e+06
4.460273658315625507e+05,2.549490291908369400e+06,6.495500475507289171e+06,2.588211961877478287e+06,6.992164728245544247e+06
4.460278672747303499e+05,2.549490686655079480e+06,6.495499781739057973e+06,2.588212437132360414e+06,6.992164259676597081e+06
4.460284679428867530e+05,2.549491195559209678e+06,6.495499347388586029e+06,2.588213041936348658e+06,6.992164080052394420e+06
4.460287969736990053e+05,2.549491768493779935e+06,6.495498296938301995e+06,2.588213663001443259e+06,6.992163334110247903e+06
4.460295317022473319e+05,2.549492451456915122e+06,6.495497612644136883e+06,2.588214462363255676e+06,6.992162994313848205e+06
4.460299835633544717e+05,2.549492735174558591e+06,6.495497127116488293e+06,2.588214819705925882e+06,6.992162675547811203e+06
4.460306884943029145e+05,2.549493390477086883e+06,6.495496098955813795e+06,2.588215586686134804e+06,6.992162004324217327e+06
4.460313319890804123e+05,2.549493712701510172e+06,6.495495067681462504e+06,2.588216014984159730e+06,6.992161204841797240e+06
4.460316964426927152e+05,2.549493908362267539e+06,6.495494613922990859e+06,2.588216270524520427e+06,6.992160877905373462e+06
4.460321654452677467e+05,2.549494445792331826e+06,6.495492706599121913e+06,2.588216880738116335e+06,6.992159331938891672e+06
4.460322953176154406e+05,2.549495283662253991e+06,6.495491680753377266e+06,2.588217728453767020e+06,6.992158692751381546e+06
4.460328430730811087e+05,2.549495881341281347e+06,6.495490171225814149e+06,2.588218411586628761e+06,6.992157543317168020e+06
4.460333528037826181e+05,2.549496407493806444e+06,6.495489609079486690e+06,2.588219017710288055e+06,6.992157245464148931e+06
4.460336735929743736e+05,2.549496736450728960e+06,6.495489016305922531e+06,2.588219397027957253e+06,6.992156835204903036e+06
4.460344718039927538e+05,2.549497013358117547e+06,6.495487378036506474e+06,2.588219807350107469e+06,6.992155465190329589e+06
4.460349654557973263e+05,2.549497553821038920e+06,6.495485362831674516e+06,2.588220424799366854e+06,6.992153821685357019e+06
4.460353275567411911e+05,2.549497851719635539e+06,6.495484719697412103e+06,2.588220780642888974e+06,6.992153355953676626e+06
4.460355552595108165e+05,2.549498332020469010e+06,6.495484359462008812e+06,2.588221292998497374e+06,6.992153210960583761e+06
4.460361029804460122e+05,2.549498875643992797e+06,6.495482956796555780e+06,2.588221922879096121e+06,6.992152141086926684e+06
4.460367956814492936e+05,2.549499374556167983e+06,6.495481658388297074e+06,2.588222533702244516e+06,6.992151161010669544e+06
4.460367658961795387e+05,2.549499296178880148e+06,6.495481883299325593e+06,2.588222451364590321e+06,6.992151339467522688e+06
4.460373794897464104e+05,2.549499628710678313e+06,6.495480900518506765e+06,2.588222884663909208e+06,6.992150586886604317e+06
4.460379827891237801e+05,2.549500399757382460e+06,6.495480224866512232e+06,2.588223748143433593e+06,6.992150278854534961e+06
4.460387337706015678e+05,2.549500660427538678e+06,6.495479602079994977e+06,2.588224134333063848e+06,6.992149843258611858e+06
4.460392058546465705e+05,2.549500968435664661e+06,6.495478510898760520e+06,2.588224519089067355e+06,6.992148972008635290e+06
4.460396935133571387e+05,2.549501338653689716e+06,6.495477026267229579e+06,2.588224967808332760e+06,6.992147758933003061e+06
4.460403311182640027e+05,2.549501722169406712e+06,6.495475933170744218e+06,2.588225455467290245e+06,6.992146923994747922e+06
4.460411071532835485e+05,2.549502094102196861e+06,6.495475220252801664e+06,2.588225955573047511e+06,6.992146446837351657e+06
4.460414433767234441e+05,2.549502654106292408e+06,6.495473940095597878e+06,2.588226565141587518e+06,6.992145483252307400e+06
4.460422531022180337e+05,2.549502905596341938e+06,6.495472679228886031e+06,2.588226952412924264e+06,6.992144455301648006e+06
4.460426893797940575e+05,2.549503147895935923e+06,6.495471348193525337e+06,2.588227266273277812e+06,6.992143334992744960e+06
4.460432198866669787e+05,2.549503347780890763e+06,6.495469927962176502e+06,2.588227554592685774e+06,6.992142122369496152e+06
4.460437106801027548e+05,2.549503887613491155e+06,6.495468306620833464e+06,2.588228170929599553e+06,6.992140844341545366e+06
4.460443895027610706e+05,2.549504152695459779e+06,6.495467070349570364e+06,2.588228549030839466e+06,6.992139835845241323e+06
4.460449616083787987e+05,2.549504498994693626e+06,6.495466012994202785e+06,2.588228988743152935e+06,6.992139016362103634e+06
4.460450145445976523e+05,2.549504751944458112e+06,6.495466045062934048e+06,2.588229247031155508e+06,6.992139141761480831e+06
4.460440799390777247e+05,2.549504552819941193e+06,6.495467820103104226e+06,2.588228889819891192e+06,6.992140658488878049e+06
