ofsI,magI,ofsQ,magQ,cfgSource,reserved0,lowLevCfg,reserved1,postStatus,reserved2
12,160,3,154,0,13720848,4294967295,18446744073709551615,0,0
9,160,0,155,0,8197462,4294967295,18446744073709551615,0,0
15,152,4,148,0,9398218,4294967295,18446744073709551615,0,0
13,153,1,149,0,9930757,4294967295,18446744073709551615,0,0
11,154,9,146,0,13006402,4294967295,18446744073709551615,0,0
13,157,3,154,0,10349358,4294967295,18446744073709551615,0,0
11,163,0,167,0,6721634,4294967295,18446744073709551615,0,0
14,146,0,150,0,13345440,4294967295,18446744073709551615,0,0
12,139,0,133,0,829547,4294967295,18446744073709551615,0,0
18,141,-7,143,0,11883625,4294967295,18446744073709551615,0,0
28,214,13,162,0,9294146,4294967295,18446744073709551615,0,0
10,178,-9,156,0,7555532,4294967295,18446744073709551615,0,0
12,141,-2,124,0,5832366,4294967295,18446744073709551615,0,0
18,135,13,124,0,9250349,4294967295,18446744073709551615,0,0
19,177,2,185,0,9256469,4294967295,18446744073709551615,0,0
14,164,2,168,0,7041238,4294967295,18446744073709551615,0,0
14,172,0,168,0,5512895,4294967295,18446744073709551615,0,0
13,158,8,153,0,15901439,4294967295,18446744073709551615,0,0
18,168,-3,174,0,15247226,4294967295,18446744073709551615,0,0
13,166,0,161,0,2151120,4294967295,18446744073709551615,0,0
17,164,9,172,0,16654507,4294967295,18446744073709551615,0,0
14,158,-2,161,0,11494058,4294967295,18446744073709551615,0,0
8,191,1,172,0,16573194,4294967295,18446744073709551615,0,0
11,124,33,224,0,8493463,4294967295,18446744073709551615,0,0
4,149,2,148,0,2911407,4294967295,18446744073709551615,0,0
5,200,-13,249,0,13538981,4294967295,18446744073709551615,0,0
19,109,-6,56,0,5807507,4294967295,18446744073709551615,0,0
12,132,10,132,0,2577777,4294967295,18446744073709551615,0,0
9,156,11,126,0,67827,4294967295,18446744073709551615,0,0
21,97,-8,99,0,1841793,4294967295,18446744073709551615,0,0
14,137,0,138,0,15122768,4294967295,18446744073709551615,0,0
17,177,3,157,0,14744256,4294967295,18446744073709551615,0,0
14,162,4,155,0,8932149,4294967295,18446744073709551615,0,0
11,163,0,149,0,11699105,4294967295,18446744073709551615,0,0
13,149,-14,158,0,3265228,4294967295,18446744073709551615,0,0
22,131,1,113,0,5185224,4294967295,18446744073709551615,0,0
22,105,1,116,0,11163444,4294967295,18446744073709551615,0,0
23,108,6,101,0,11333840,4294967295,18446744073709551615,0,0
15,155,6,168,0,16671404,4294967295,18446744073709551615,0,0
17,176,-1,176,0,11321795,4294967295,18446744073709551615,0,0
15,137,11,135,0,5722868,4294967295,18446744073709551615,0,0
17,134,0,132,0,3611241,4294967295,18446744073709551615,0,0
5,212,14,219,0,8664391,4294967295,18446744073709551615,0,0
11,173,6,180,0,6909182,4294967295,18446744073709551615,0,0
13,143,8,142,0,14740942,4294967295,18446744073709551615,0,0
14,146,5,143,0,2389273,4294967295,18446744073709551615,0,0
17,141,1,141,0,1555663,4294967295,18446744073709551615,0,0
29,168,2,170,0,6549597,4294967295,18446744073709551615,0,0
7,144,-8,136,0,3752107,4294967295,18446744073709551615,0,0
22,135,3,125,0,1261260,4294967295,18446744073709551615,0,0
24,148,-26,186,0,12502779,4294967295,18446744073709551615,0,0
13,154,0,153,0,9109881,4294967295,18446744073709551615,0,0
13,162,-5,181,0,5356452,4294967295,18446744073709551615,0,0
13,159,5,163,0,9628705,4294967295,18446744073709551615,0,0
16,162,0,162,0,2731226,4294967295,18446744073709551615,0,0
12,156,3,184,0,8349754,4294967295,18446744073709551615,0,0
1,227,1,189,0,4390449,4294967295,18446744073709551615,0,0
17,137,19,142,0,8514387,4294967295,18446744073709551615,0,0
13,135,9,138,0,9690361,4294967295,18446744073709551615,0,0
11,124,0,133,0,6106599,4294967295,18446744073709551615,0,0
16,157,3,158,0,8200354,4294967295,18446744073709551615,0,0
13,156,5,145,0,3672768,4294967295,18446744073709551615,0,0
15,151,0,154,0,8606730,4294967295,18446744073709551615,0,0
12,155,4,159,0,16590169,4294967295,18446744073709551615,0,0
18,166,2,157,0,12723842,4294967295,18446744073709551615,0,0
11,159,1,154,0,12797793,4294967295,18446744073709551615,0,0
13,155,5,158,0,2776203,4294967295,18446744073709551615,0,0
13,156,3,152,0,9264800,4294967295,18446744073709551615,0,0
9,168,0,163,0,8885650,4294967295,18446744073709551615,0,0
15,160,1,154,0,6338812,4294967295,18446744073709551615,0,0
15,155,10,151,0,3592765,4294967295,18446744073709551615,0,0
11,169,6,161,0,15855847,4294967295,18446744073709551615,0,0
19,163,3,151,0,10216943,4294967295,18446744073709551615,0,0
17,154,4,144,0,5299699,4294967295,18446744073709551615,0,0
12,156,2,146,0,4674312,4294967295,18446744073709551615,0,0
11,167,4,164,0,9332517,4294967295,18446744073709551615,0,0
11,156,13,151,0,4091985,4294967295,18446744073709551615,0,0
15,159,0,153,0,12097914,4294967295,18446744073709551615,0,0
12,156,1,150,0,7514994,4294967295,18446744073709551615,0,0
17,155,5,149,0,13189875,4294967295,18446744073709551615,0,0
14,158,2,156,0,13153975,4294967295,18446744073709551615,0,0
13,155,11,150,0,7866561,4294967295,18446744073709551615,0,0
15,158,4,150,0,2521087,4294967295,18446744073709551615,0,0
10,155,8,153,0,4304238,4294967295,18446744073709551615,0,0
14,151,4,154,0,1209677,4294967295,18446744073709551615,0,0
12,159,4,152,0,9709340,4294967295,18446744073709551615,0,0
15,163,3,157,0,12626775,4294967295,18446744073709551615,0,0
12,162,10,159,0,13708591,4294967295,18446744073709551615,0,0
9,164,0,146,0,15287039,4294967295,18446744073709551615,0,0
14,163,2,160,0,653628,4294967295,18446744073709551615,0,0
13,162,9,154,0,5343985,4294967295,18446744073709551615,0,0
11,161,8,165,0,15384895,4294967295,18446744073709551615,0,0
