version,nBlocks,reserved0,blockId_01,jammingState_01,antStatus_01,antPower_01,postStatus_01,reserved1_01,noisePerMS_01,agcCnt_01,jamInd_01,ofsI_01,magI_01,ofsQ_01,magQ_01,reserved2_01,blockId_02,jammingState_02,antStatus_02,antPower_02,postStatus_02,reserved1_02,noisePerMS_02,agcCnt_02,jamInd_02,ofsI_02,magI_02,ofsQ_02,magQ_02,reserved2_02
0,2,0,0,2,1,2,0,0,90,4914,12,13,161,1,157,0,1,2,1,2,0,0,58,3861,3,0,111,9,131,0
0,2,0,0,2,1,2,0,0,89,4914,9,15,159,4,156,0,1,2,1,2,0,0,55,3861,2,7,131,-3,117,0
0,2,0,0,2,1,2,0,0,83,4914,15,13,154,12,165,0,1,2,1,2,0,0,54,3861,2,26,162,7,184,0
0,2,0,0,2,1,2,0,0,83,4914,14,13,153,0,151,0,1,2,1,2,0,0,54,4212,4,15,140,16,133,0
0,2,0,0,2,1,2,0,0,83,4914,11,14,157,4,156,0,1,2,1,2,0,0,55,4212,3,-6,128,5,121,0
0,2,0,0,2,1,2,0,0,83,4914,14,13,154,11,170,0,1,2,1,2,0,0,55,4212,5,9,195,0,159,0
0,2,0,0,2,1,2,0,0,89,4914,15,15,171,0,166,0,1,2,1,2,0,0,54,3510,1,3,229,28,255,0
0,2,0,0,2,1,2,0,0,89,4563,16,18,139,-1,139,0,1,2,1,2,0,0,44,3159,2,16,151,6,146,0
0,2,0,0,2,1,2,0,0,90,4563,12,4,209,2,136,0,1,2,1,2,0,0,44,3159,1,17,146,10,96,0
0,2,0,0,2,1,2,0,0,96,4563,19,18,141,-5,139,0,1,2,1,2,0,0,47,3159,1,36,152,13,180,0
0,2,0,0,2,1,2,0,0,102,4563,12,11,157,21,176,0,1,2,1,2,0,0,50,3159,1,1,187,-14,148,0
0,2,0,0,2,1,2,0,0,102,4563,18,6,177,0,176,0,1,2,1,2,0,0,50,2808,0,31,145,2,157,0
0,2,0,0,2,1,2,0,0,95,4563,6,12,141,-3,126,0,1,2,1,2,0,0,47,2808,0,4,9,2,4,0
0,2,0,0,2,1,2,0,0,95,4563,12,15,141,15,133,0,1,2,1,2,0,0,50,3159,1,0,55,12,37,0
0,2,0,0,2,1,2,0,0,102,4914,24,18,179,0,180,0,1,2,1,2,0,0,57,3510,2,21,100,-5,76,0
0,2,0,0,2,1,2,0,0,109,4914,17,14,163,4,165,0,1,2,1,2,0,0,58,3510,2,19,161,7,81,0
0,2,0,0,2,1,2,0,0,117,4914,16,17,169,1,178,0,1,2,1,2,0,0,58,3861,2,11,157,0,121,0
0,2,0,0,2,1,2,0,0,117,4914,12,5,175,13,162,0,1,2,1,2,0,0,62,3861,2,23,106,5,97,0
0,2,0,0,2,1,2,0,0,117,4914,6,24,181,-7,182,0,1,2,1,2,0,0,61,3861,5,0,143,4,117,0
0,2,0,0,2,1,2,0,0,116,4914,8,15,178,10,185,0,1,2,1,2,0,0,61,3861,5,9,216,-6,192,0
0,2,0,0,2,1,2,0,0,116,4914,4,14,169,20,195,0,1,2,1,2,0,0,53,3510,2,23,153,-14,178,0
0,2,0,0,2,1,2,0,0,116,4914,4,16,162,-2,161,0,1,2,1,2,0,0,49,3510,2,-2,136,14,93,0
0,2,0,0,2,1,2,0,0,116,4914,5,1,200,2,205,0,1,2,1,2,0,0,49,3510,1,-7,214,2,127,0
0,2,0,0,1,1,2,0,0,100,4212,5,-6,161,7,173,0,1,2,1,2,0,0,49,3510,1,13,174,-8,158,0
0,2,0,0,2,1,2,0,0,93,4212,3,4,148,7,138,0,1,2,1,2,0,0,49,3510,1,2,138,13,84,0
0,2,0,0,2,1,2,0,0,93,3861,3,12,153,-10,109,0,1,2,1,2,0,0,49,3510,1,27,131,-15,120,0
0,2,0,0,2,1,2,0,0,87,3861,5,14,130,6,82,0,1,2,1,2,0,0,46,3159,2,20,133,-8,109,0
0,2,0,0,2,1,2,0,0,87,4212,13,12,132,14,123,0,1,2,1,2,0,0,46,3159,2,-11,67,13,64,0
0,2,0,0,2,1,2,0,0,100,4212,3,16,109,9,114,0,1,2,1,2,0,0,46,3159,2,-8,195,6,209,0
0,2,0,0,2,1,2,0,0,107,4563,14,15,141,-10,94,0,1,2,1,2,0,0,46,2808,0,-2,74,-3,33,0
0,2,0,0,2,1,2,0,0,114,4563,8,15,139,-1,141,0,1,2,1,2,0,0,47,2808,1,12,171,1,177,0
0,2,0,0,2,1,2,0,0,114,4563,4,16,194,-6,129,0,1,2,1,2,0,0,49,2106,0,2,6,0,37,0
0,2,0,0,2,1,2,0,0,114,4563,6,10,165,6,158,0,1,2,1,2,0,0,50,2457,1,3,33,3,99,0
0,2,0,0,2,1,2,0,0,114,4563,10,9,159,-14,176,0,1,2,1,2,0,0,50,2808,0,14,207,19,58,0
0,2,0,0,2,1,2,0,0,106,4212,5,25,138,-15,172,0,1,2,1,2,0,0,50,2808,0,29,90,25,146,0
0,2,0,0,2,1,2,0,0,99,4212,4,16,116,0,109,0,1,2,1,2,0,0,50,2808,0,14,60,-6,148,0
0,2,0,0,2,1,2,0,0,106,4212,6,23,107,-8,136,0,1,2,1,2,0,0,50,2808,1,-9,73,15,39,0
0,2,0,0,2,1,2,0,0,106,4563,5,15,139,-4,112,0,1,2,1,2,0,0,57,3159,1,11,85,1,92,0
0,2,0,0,2,1,2,0,0,113,4563,7,17,151,-4,145,0,1,2,1,2,0,0,57,3159,2,25,128,-19,75,0
0,2,0,0,1,1,2,0,0,114,4563,8,13,167,5,162,0,1,2,1,2,0,0,61,3159,2,0,149,30,77,0
0,2,0,0,2,1,2,0,0,114,4563,3,20,145,4,139,0,1,2,1,2,0,0,61,3159,1,22,82,0,95,0
0,2,0,0,1,1,2,0,0,114,4563,7,13,142,6,143,0,1,1,1,2,0,0,62,3159,2,21,83,-2,70,0
0,2,0,0,1,1,2,0,0,114,4563,11,2,206,2,243,0,1,1,1,2,0,0,62,3159,1,-7,82,11,47,0
0,2,0,0,1,1,2,0,0,114,4563,5,10,171,13,141,0,1,1,1,2,0,0,62,3510,1,0,160,26,154,0
0,2,0,0,1,1,2,0,0,114,4563,6,16,135,9,145,0,1,1,1,2,0,0,57,3159,2,11,141,21,212,0
0,2,0,0,1,1,2,0,0,114,4563,6,17,151,5,143,0,1,1,1,2,0,0,53,3159,0,13,162,32,181,0
0,2,0,0,1,1,2,0,0,114,4563,4,1,175,-13,173,0,1,1,1,2,0,0,50,3159,1,3,45,1,32,0
0,2,0,0,1,1,2,0,0,114,4563,6,12,184,13,191,0,1,1,1,2,0,0,50,3510,2,1,48,-1,71,0
0,2,0,0,1,1,2,0,0,114,4563,5,7,143,-4,127,0,1,1,1,2,0,0,57,3510,3,-13,77,10,72,0
0,2,0,0,1,1,2,0,0,114,4563,5,23,130,4,120,0,1,1,1,2,0,0,57,3510,2,14,106,-2,119,0
0,2,0,0,1,1,2,0,0,106,4563,5,24,153,-19,200,0,1,1,1,2,0,0,57,3510,2,21,215,-3,194,0
0,2,0,0,1,1,2,0,0,107,4914,6,13,154,2,149,0,1,1,1,2,0,0,61,3510,1,2,152,3,87,0
0,2,0,0,1,1,2,0,0,114,4914,6,14,164,-3,174,0,1,1,1,2,0,0,57,3861,3,17,144,14,127,0
0,2,0,0,1,1,2,0,0,113,4914,7,5,173,2,158,0,1,1,1,2,0,0,57,3861,3,6,135,-7,192,0
0,2,0,0,1,1,2,0,0,106,4914,4,15,161,2,159,0,1,1,1,2,0,0,57,3510,1,19,211,-18,242,0
0,2,0,0,1,1,2,0,0,106,4914,7,3,190,13,178,0,1,1,1,2,0,0,49,3510,2,27,116,-5,58,0
