iTOW,clkB,clkD,tAcc,fAcc
94486900,634094,211,2,173
94487000,634115,211,2,172
94487100,634137,211,2,174
94487200,634158,212,2,177
94487300,634179,212,2,176
94487500,634222,212,2,178
94487600,634243,211,2,176
94487700,634264,212,2,179
94487800,634285,212,2,178
94488100,634349,212,2,178
94488200,634370,212,2,178
94488300,634392,212,2,177
94488400,634413,212,2,176
94488500,634434,212,2,175
94488600,634455,212,2,176
94488700,634477,212,2,176
94488800,634498,212,2,176
94488900,634519,212,2,176
94489000,634541,212,2,175
94489100,634562,212,2,173
94489200,634583,211,2,173
94489300,634604,211,2,172
94489400,634626,211,2,168
94489500,634647,212,2,171
94489600,634668,211,2,170
94489700,634689,211,2,172
94489800,634711,211,2,169
94489900,634732,212,2,170
94490000,634753,212,2,169
94490100,634775,211,2,169
94490200,634796,212,2,172
94490300,634818,212,2,172
94490400,634839,212,2,169
94490500,634860,212,2,173
94490600,634881,211,2,173
94490700,634903,212,2,171
94490800,634924,212,2,173
94490900,634945,211,2,172
94491000,634967,212,2,171
94491100,634988,212,2,173
94491200,635009,212,2,174
94491300,635030,212,2,173
94491400,635052,212,2,170
94491500,635073,212,2,173
94491600,635094,212,2,170
94491700,635115,212,2,174
94491800,635137,214,2,175
94491900,635158,212,2,179
94492000,635179,211,2,179
94492100,635200,211,2,178
94492200,635222,213,2,177
94492300,635243,213,2,179
94492400,635264,212,2,178
94492500,635286,211,2,171
94492600,635307,212,2,151
94492700,635328,212,2,116
94492800,635349,213,2,95
94492900,635370,212,2,94
94493000,635391,211,2,100
94493100,635413,213,2,120
94493200,635434,212,2,131
94493300,635455,211,2,137
94493400,635476,212,2,136
94493500,635498,214,2,150
94493600,635519,213,2,141
94493700,635540,211,2,147
94493800,635562,211,2,147
94493900,635583,213,2,150
94494000,635604,213,2,147
94494100,635626,211,2,159
94494200,635647,210,2,139
94494300,635668,211,2,143
94494400,635689,211,2,137
94494500,635710,212,2,133
94494600,635732,213,2,128
94494700,635753,211,2,115
94494800,635774,211,2,119
94494900,635794,212,2,116
94495000,635815,212,2,111
94495100,635836,211,2,97
94495200,635857,211,2,97
94495300,635878,212,2,96
94495400,635899,212,2,85
94495500,635920,211,2,87
94495600,635941,211,2,84
94495700,635962,212,2,85
94495800,635983,212,2,89
94495900,636004,212,2,86
94496000,636025,212,2,86
94496100,636046,213,2,87
94496200,636068,214,2,86
94496300,636089,213,2,88
94496400,636110,211,2,91
94496500,636131,210,1,89
94496600,636152,211,1,91
94496700,636173,212,1,89
94496800,636194,211,1,90
94496900,636215,211,1,91
94497000,636236,211,1,91
94497100,636257,212,1,94
94497200,636278,212,1,93
94497300,636299,212,1,94
94497400,636320,212,1,93
94497500,636341,212,1,98
94497600,636363,213,1,97
94497700,636384,212,1,97
94497800,636405,212,1,99
94497900,636426,213,2,99
94498000,636447,213,1,101
94498100,636468,211,1,101
94498200,636490,211,1,104
94498300,636511,212,1,107
94498400,636532,212,1,104
94498500,636553,212,1,102
94498600,636574,212,1,102
94498700,636595,212,1,98
94498800,636616,212,1,100
94498900,636638,215,1,117
94499000,636660,219,1,122
94499100,636681,213,2,134
94499200,636702,209,1,149
94499300,636723,209,1,167
94499400,636744,212,2,171
94499500,636765,212,2,149
94499600,636786,212,2,142
94499700,636807,211,2,147
94499800,636828,211,2,127
94499900,636850,218,2,135
94500000,636871,216,2,133
94500100,636893,208,2,138
94500200,636913,208,2,127
94500300,636934,212,2,117
94500400,636956,213,2,115
94500500,636977,213,2,104
94500600,636998,211,2,95
94500700,637019,211,1,89
94500800,637040,211,1,85
94500900,637061,212,1,107
94501000,637083,213,2,98
94501100,637104,214,1,80
94501200,637125,211,1,74
94501300,637146,211,1,80
94501400,637167,211,1,81
94501500,637188,212,1,78
94501600,637210,213,1,78
94501700,637231,215,2,82
94501800,637252,215,1,84
94501900,637274,216,1,90
94502000,637295,217,1,94
94502100,637312,212,5,91
94502200,637334,209,4,92
94502300,637355,212,3,85
94502400,637377,214,3,91
94502500,637398,213,2,91
94502600,637419,212,2,92
94502700,637440,212,2,96
94502800,637462,213,2,95
94502900,637483,213,2,94
94503000,637505,213,2,90
94503100,637526,212,2,89
94503200,637547,211,2,90
94503300,637568,212,2,94
94503400,637589,212,2,99
94503500,637610,211,2,93
94503600,637631,211,2,91
94503700,637652,212,2,91
94503800,637674,212,2,89
94503900,637695,212,2,90
94504000,637716,212,2,90
94504100,637737,212,2,94
94504200,637758,212,2,90
94504300,637780,212,2,86
94504400,637801,212,2,91
94504500,637822,212,2,90
94504600,637843,212,2,89
94504700,637865,212,2,89
94504800,637886,211,2,92
94504900,637907,211,2,96
94505000,637928,212,2,92
94505100,637949,210,2,91
94505200,637970,209,2,96
94505300,637991,209,2,94
94505400,638012,209,2,94
94505500,638033,208,2,97
94505600,638054,208,2,99
94505700,638075,210,2,95
94505800,638096,210,2,98
94505900,638117,210,2,99
94506000,638137,209,2,109
94506200,638179,209,2,150
94506400,638221,209,2,153
94506500,638242,209,2,148
94506600,638263,209,2,131
94506700,638284,210,2,117
94506800,638305,210,2,111
94506900,638326,210,2,100
94507000,638347,210,2,102
94507100,638368,210,2,103
94507200,638389,210,2,140
94507400,638432,211,2,171
94507600,638474,210,2,185
94507700,638495,210,2,168
94507800,638516,210,2,166
94507900,638537,211,2,155
94508000,638559,212,2,141
94508100,638580,210,2,144
94508200,638601,210,2,128
94508300,638622,211,2,129
94508400,638644,212,2,134
94508500,638665,212,2,157
94508600,638686,210,2,166
94508700,638707,210,2,173
94508800,638728,211,2,182
94508900,638750,212,2,201
94509000,638771,212,1,176
94509200,638813,212,2,162
94509400,638856,212,2,151
94509600,638898,213,2,163
94509700,638920,213,2,158
94509900,638962,212,2,141
94510100,639005,212,2,146
94510300,639047,212,2,137
94510400,639069,212,2,149
94510500,639090,213,2,165
94510600,639111,213,2,178
94510700,639133,212,2,186
94510800,639154,212,2,186
94510900,639175,212,2,187
94511000,639197,212,2,169
94511100,639218,212,2,151
94511200,639239,212,2,145
94511300,639260,211,2,141
94511400,639282,211,2,144
94511500,639303,211,2,138
94511600,639324,212,2,138
94511700,639345,212,2,149
94511900,639388,212,2,177
94512000,639409,211,2,160
94512200,639451,211,2,173
94512300,639472,211,2,154
94512400,639494,211,2,174
94512600,639536,211,2,197
94512700,639557,211,2,196
94512900,639599,212,2,216
94513000,639620,211,2,218
94513200,639663,213,2,240
94513300,639684,214,2,203
94513400,639706,211,2,180
94513500,639727,210,2,168
94513600,639748,211,2,154
94513700,639769,212,2,176
94513900,639811,212,2,231
94514000,639833,212,2,243
94514200,639875,211,2,275
94514400,639917,211,2,228
94514500,639939,211,2,243
94514700,639981,211,2,230
94514900,640023,211,2,244
94515000,640044,211,2,225
94515200,640087,212,2,217
94515300,640108,212,2,239
94515400,640129,211,2,231
94515500,640151,212,2,193
94515700,640193,212,2,185
94515900,640235,211,2,214
94516000,640257,211,2,204
94516200,640299,212,2,201
94516400,640342,213,2,192
94516500,640363,212,2,187
94516600,640384,212,2,184
94516700,640406,212,2,177
94516800,640427,212,2,154
94516900,640448,212,2,185
94517100,640490,211,2,220
94517300,640533,211,2,221
94517400,640554,212,2,195
94517500,640575,213,2,198
94517600,640597,212,2,189
94517700,640618,210,2,173
94517800,640639,211,2,181
94518000,640681,212,2,176
94518200,640724,211,2,185
94518300,640745,211,2,199
94518400,640766,211,2,198
94518500,640787,211,2,175
94518600,640809,212,2,176
94518700,640830,212,2,175
94518800,640851,211,2,153
94518900,640872,210,2,170
94519000,640893,211,2,147
94519100,640914,211,2,138
94519200,640936,211,2,137
94519300,640957,212,2,127
