iTOW,ecefX,ecefY,ecefZ,pAcc
94487000,-241821497,538575616,240576530,197
94487100,-241821497,538575616,240576530,197
94487200,-241821497,538575616,240576530,197
94487300,-241821497,538575616,240576530,197
94487400,-241821497,538575616,240576530,197
94487500,-241821497,538575616,240576530,197
94487600,-241821497,538575616,240576530,197
94487700,-241821497,538575616,240576530,197
94487800,-241821497,538575616,240576530,197
94487900,-241821497,538575616,240576530,197
94488100,-241821497,538575616,240576530,197
94488200,-241821497,538575616,240576530,197
94488300,-241821497,538575616,240576530,197
94488400,-241821497,538575616,240576530,197
94488500,-241821497,538575616,240576530,197
94488600,-241821497,538575616,240576530,197
94488700,-241821497,538575616,240576530,197
94488800,-241821497,538575616,240576530,197
94488900,-241821497,538575616,240576530,197
94489000,-241821497,538575616,240576530,197
94489100,-241821497,538575616,240576530,197
94489200,-241821497,538575616,240576530,197
94489300,-241821497,538575616,240576530,197
94489400,-241821497,538575616,240576530,197
94489500,-241821497,538575616,240576530,197
94489600,-241821497,538575616,240576530,197
94489700,-241821497,538575616,240576530,197
94489800,-241821497,538575616,240576530,197
94489900,-241821497,538575616,240576530,197
94490000,-241821497,538575616,240576530,197
94490100,-241821497,538575616,240576530,197
94490200,-241821497,538575616,240576530,197
94490300,-241821497,538575616,240576530,197
94490400,-241821497,538575616,240576530,197
94490500,-241821497,538575616,240576530,197
94490600,-241821497,538575616,240576530,197
94490700,-241821497,538575616,240576530,197
94490800,-241821497,538575616,240576530,197
94490900,-241821497,538575616,240576530,197
94491000,-241821497,538575616,240576530,197
94491100,-241821497,538575616,240576530,197
94491200,-241821497,538575616,240576530,197
94491300,-241821497,538575616,240576530,197
94491400,-241821497,538575616,240576530,197
94491500,-241821497,538575616,240576530,197
94491600,-241821497,538575616,240576530,197
94491700,-241821497,538575616,240576530,197
94491800,-241821497,538575616,240576530,197
94491900,-241821497,538575616,240576530,197
94492000,-241821497,538575616,240576530,197
94492100,-241821497,538575616,240576530,197
94492200,-241821497,538575616,240576530,197
94492300,-241821497,538575616,240576530,197
94492400,-241821497,538575616,240576530,197
94492500,-241821497,538575616,240576530,197
94492600,-241821497,538575616,240576530,197
94492700,-241821497,538575616,240576530,197
94492800,-241821497,538575616,240576530,197
94492900,-241821497,538575616,240576530,197
94493000,-241821497,538575616,240576530,197
94493100,-241821497,538575616,240576530,197
94493200,-241821497,538575616,240576530,197
94493300,-241821497,538575616,240576530,197
94493400,-241821497,538575616,240576530,197
94493500,-241821497,538575616,240576530,197
94493600,-241821497,538575616,240576530,197
94493700,-241821497,538575616,240576530,197
94493800,-241821497,538575616,240576530,197
94493900,-241821497,538575616,240576530,197
94494000,-241821497,538575616,240576530,197
94494100,-241821497,538575616,240576530,197
94494200,-241821497,538575616,240576530,197
94494300,-241821497,538575616,240576530,197
94494400,-241821497,538575616,240576530,197
94494500,-241821497,538575616,240576530,197
94494600,-241821497,538575616,240576530,197
94494700,-241821497,538575616,240576530,197
94494800,-241821497,538575616,240576530,197
94494900,-241821497,538575616,240576530,197
94495000,-241821497,538575616,240576530,197
94495100,-241821497,538575616,240576530,197
94495200,-241821497,538575616,240576530,197
94495300,-241821497,538575616,240576530,197
94495400,-241821497,538575616,240576530,197
94495500,-241821497,538575616,240576530,197
94495600,-241821497,538575616,240576530,197
94495700,-241821497,538575616,240576530,197
94495800,-241821497,538575616,240576530,197
94495900,-241821497,538575616,240576530,197
94496000,-241821497,538575616,240576530,197
94496100,-241821497,538575616,240576530,197
94496200,-241821497,538575616,240576530,197
94496300,-241821497,538575616,240576530,197
94496400,-241821497,538575616,240576530,197
94496500,-241821497,538575616,240576530,197
94496600,-241821497,538575616,240576530,197
94496700,-241821497,538575616,240576530,197
94496800,-241821497,538575616,240576530,197
94496900,-241821497,538575616,240576530,197
94497000,-241821497,538575616,240576530,197
94497100,-241821497,538575616,240576530,197
94497200,-241821497,538575616,240576530,197
94497300,-241821497,538575616,240576530,197
94497400,-241821497,538575616,240576530,197
94497500,-241821497,538575616,240576530,197
94497600,-241821497,538575616,240576530,197
94497700,-241821497,538575616,240576530,197
94497800,-241821497,538575616,240576530,197
94497900,-241821497,538575616,240576530,197
94498000,-241821497,538575616,240576530,197
94498100,-241821497,538575616,240576530,197
94498200,-241821497,538575616,240576530,197
94498300,-241821497,538575616,240576530,197
94498400,-241821497,538575616,240576530,197
94498500,-241821497,538575616,240576530,197
94498600,-241821497,538575616,240576530,197
94498700,-241821497,538575616,240576530,197
94498800,-241821497,538575616,240576530,197
94498900,-241821497,538575616,240576530,197
94499000,-241821497,538575616,240576530,197
94499100,-241821497,538575616,240576530,197
94499200,-241821497,538575616,240576530,197
94499300,-241821497,538575616,240576530,197
94499400,-241821497,538575616,240576530,197
94499500,-241821497,538575616,240576530,197
94499600,-241821497,538575616,240576530,197
94499700,-241821497,538575616,240576530,197
94499800,-241821497,538575616,240576530,197
94499900,-241821497,538575616,240576530,197
94500000,-241821497,538575616,240576530,197
94500100,-241821497,538575616,240576530,197
94500200,-241821497,538575616,240576530,197
94500300,-241821497,538575616,240576530,197
94500400,-241821497,538575616,240576530,197
94500500,-241821497,538575616,240576530,197
94500600,-241821497,538575616,240576530,197
94500700,-241821497,538575616,240576530,197
94500800,-241821497,538575616,240576530,197
94500900,-241821497,538575616,240576530,197
94501000,-241821497,538575616,240576530,197
94501100,-241821497,538575616,240576530,197
94501200,-241821497,538575616,240576530,197
94501300,-241821497,538575616,240576530,197
94501400,-241821497,538575616,240576530,197
94501500,-241821497,538575616,240576530,197
94501600,-241821497,538575616,240576530,197
94501700,-241821497,538575616,240576530,197
94501800,-241821497,538575616,240576530,197
94501900,-241821497,538575616,240576530,197
94502000,-241821497,538575616,240576530,197
94502100,-241821497,538575616,240576530,197
94502200,-241821497,538575616,240576530,197
94502300,-241821497,538575616,240576530,197
94502400,-241821497,538575616,240576530,197
94502500,-241821497,538575616,240576530,197
94502600,-241821497,538575616,240576530,197
94502700,-241821497,538575616,240576530,197
94502800,-241821497,538575616,240576530,197
94502900,-241821497,538575616,240576530,197
94503000,-241821497,538575616,240576530,197
94503100,-241821497,538575616,240576530,197
94503200,-241821497,538575616,240576530,197
94503300,-241821497,538575616,240576530,197
94503400,-241821497,538575616,240576530,197
94503500,-241821497,538575616,240576530,197
