iTOW,lon,lat,height,hMSL,hAcc,vAcc
94487000,114.1801728,22.3056416,16797,18410,1609,1137
94487100,114.1801728,22.3056416,16797,18410,1609,1137
94487200,114.1801728,22.3056416,16797,18410,1609,1137
94487300,114.1801728,22.3056416,16797,18410,1609,1137
94487400,114.1801728,22.3056416,16797,18410,1609,1137
94487500,114.1801728,22.3056416,16797,18410,1609,1137
94487600,114.1801728,22.3056416,16797,18410,1609,1137
94487700,114.1801728,22.3056416,16797,18410,1609,1137
94487800,114.1801728,22.3056416,16797,18410,1609,1137
94487900,114.1801728,22.3056416,16797,18410,1609,1137
94488100,114.1801728,22.3056416,16797,18410,1609,1137
94488200,114.1801728,22.3056416,16797,18410,1609,1137
94488300,114.1801728,22.3056416,16797,18410,1609,1137
94488400,114.1801728,22.3056416,16797,18410,1609,1137
94488500,114.1801728,22.3056416,16797,18410,1609,1137
94488600,114.1801728,22.3056416,16797,18410,1609,1137
94488700,114.1801728,22.3056416,16797,18410,1609,1137
94488800,114.1801728,22.3056416,16797,18410,1609,1137
94488900,114.1801728,22.3056416,16797,18410,1609,1137
94489000,114.1801728,22.3056416,16797,18410,1609,1137
94489100,114.1801728,22.3056416,16797,18410,1609,1137
94489200,114.1801728,22.3056416,16797,18410,1609,1137
94489300,114.1801728,22.3056416,16797,18410,1609,1137
94489400,114.1801728,22.3056416,16797,18410,1609,1137
94489500,114.1801728,22.3056416,16797,18410,1609,1137
94489600,114.1801728,22.3056416,16797,18410,1609,1137
94489700,114.1801728,22.3056416,16797,18410,1609,1137
94489800,114.1801728,22.3056416,16797,18410,1609,1137
94489900,114.1801728,22.3056416,16797,18410,1609,1137
94490000,114.1801728,22.3056416,16797,18410,1609,1137
94490100,114.1801728,22.3056416,16797,18410,1609,1137
94490200,114.1801728,22.3056416,16797,18410,1609,1137
94490300,114.1801728,22.3056416,16797,18410,1609,1137
94490400,114.1801728,22.3056416,16797,18410,1609,1137
94490500,114.1801728,22.3056416,16797,18410,1609,1137
94490600,114.1801728,22.3056416,16797,18410,1609,1137
94490700,114.1801728,22.3056416,16797,18410,1609,1137
94490800,114.1801728,22.3056416,16797,18410,1609,1137
94490900,114.1801728,22.3056416,16797,18410,1609,1137
94491000,114.1801728,22.3056416,16797,18410,1609,1137
94491100,114.1801728,22.3056416,16797,18410,1609,1137
94491200,114.1801728,22.3056416,16797,18410,1609,1137
94491300,114.1801728,22.3056416,16797,18410,1609,1137
94491400,114.1801728,22.3056416,16797,18410,1609,1137
94491500,114.1801728,22.3056416,16797,18410,1609,1137
94491600,114.1801728,22.3056416,16797,18410,1609,1137
94491700,114.1801728,22.3056416,16797,18410,1609,1137
94491800,114.1801728,22.3056416,16797,18410,1609,1137
94491900,114.1801728,22.3056416,16797,18410,1609,1137
94492000,114.1801728,22.3056416,16797,18410,1609,1137
94492100,114.1801728,22.3056416,16797,18410,1609,1137
94492200,114.1801728,22.3056416,16797,18410,1609,1137
94492300,114.1801728,22.3056416,16797,18410,1609,1137
94492400,114.1801728,22.3056416,16797,18410,1609,1137
94492500,114.1801728,22.3056416,16797,18410,1609,1137
94492600,114.1801728,22.3056416,16797,18410,1609,1137
94492700,114.1801728,22.3056416,16797,18410,1609,1137
94492800,114.1801728,22.3056416,16797,18410,1609,1137
94492900,114.1801728,22.3056416,16797,18410,1609,1137
94493000,114.1801728,22.3056416,16797,18410,1609,1137
94493100,114.1801728,22.3056416,16797,18410,1609,1137
94493200,114.1801728,22.3056416,16797,18410,1609,1137
94493300,114.1801728,22.3056416,16797,18410,1609,1137
94493400,114.1801728,22.3056416,16797,18410,1609,1137
94493500,114.1801728,22.3056416,16797,18410,1609,1137
94493600,114.1801728,22.3056416,16797,18410,1609,1137
94493700,114.1801728,22.3056416,16797,18410,1609,1137
94493800,114.1801728,22.3056416,16797,18410,1609,1137
94493900,114.1801728,22.3056416,16797,18410,1609,1137
94494000,114.1801728,22.3056416,16797,18410,1609,1137
94494100,114.1801728,22.3056416,16797,18410,1609,1137
94494200,114.1801728,22.3056416,16797,18410,1609,1137
94494300,114.1801728,22.3056416,16797,18410,1609,1137
94494400,114.1801728,22.3056416,16797,18410,1609,1137
94494500,114.1801728,22.3056416,16797,18410,1609,1137
94494600,114.1801728,22.3056416,16797,18410,1609,1137
94494700,114.1801728,22.3056416,16797,18410,1609,1137
94494800,114.1801728,22.3056416,16797,18410,1609,1137
94494900,114.1801728,22.3056416,16797,18410,1609,1137
94495000,114.1801728,22.3056416,16797,18410,1609,1137
94495100,114.1801728,22.3056416,16797,18410,1609,1137
94495200,114.1801728,22.3056416,16797,18410,1609,1137
94495300,114.1801728,22.3056416,16797,18410,1609,1137
94495400,114.1801728,22.3056416,16797,18410,1609,1137
94495500,114.1801728,22.3056416,16797,18410,1609,1137
94495600,114.1801728,22.3056416,16797,18410,1609,1137
94495700,114.1801728,22.3056416,16797,18410,1609,1137
94495800,114.1801728,22.3056416,16797,18410,1609,1137
94495900,114.1801728,22.3056416,16797,18410,1609,1137
94496000,114.1801728,22.3056416,16797,18410,1609,1137
94496100,114.1801728,22.3056416,16797,18410,1609,1137
94496200,114.1801728,22.3056416,16797,18410,1609,1137
94496300,114.1801728,22.3056416,16797,18410,1609,1137
94496400,114.1801728,22.3056416,16797,18410,1609,1137
94496500,114.1801728,22.3056416,16797,18410,1609,1137
94496600,114.1801728,22.3056416,16797,18410,1609,1137
94496700,114.1801728,22.3056416,16797,18410,1609,1137
94496800,114.1801728,22.3056416,16797,18410,1609,1137
94496900,114.1801728,22.3056416,16797,18410,1609,1137
94497000,114.1801728,22.3056416,16797,18410,1609,1137
94497100,114.1801728,22.3056416,16797,18410,1609,1137
94497200,114.1801728,22.3056416,16797,18410,1609,1137
94497300,114.1801728,22.3056416,16797,18410,1609,1137
94497400,114.1801728,22.3056416,16797,18410,1609,1137
94497500,114.1801728,22.3056416,16797,18410,1609,1137
94497600,114.1801728,22.3056416,16797,18410,1609,1137
94497700,114.1801728,22.3056416,16797,18410,1609,1137
94497800,114.1801728,22.3056416,16797,18410,1609,1137
94497900,114.1801728,22.3056416,16797,18410,1609,1137
94498000,114.1801728,22.3056416,16797,18410,1609,1137
94498100,114.1801728,22.3056416,16797,18410,1609,1137
94498200,114.1801728,22.3056416,16797,18410,1609,1137
94498300,114.1801728,22.3056416,16797,18410,1609,1137
94498400,114.1801728,22.3056416,16797,18410,1609,1137
94498500,114.1801728,22.3056416,16797,18410,1609,1137
94498600,114.1801728,22.3056416,16797,18410,1609,1137
94498700,114.1801728,22.3056416,16797,18410,1609,1137
94498800,114.1801728,22.3056416,16797,18410,1609,1137
94498900,114.1801728,22.3056416,16797,18410,1609,1137
94499000,114.1801728,22.3056416,16797,18410,1609,1137
94499100,114.1801728,22.3056416,16797,18410,1609,1137
94499200,114.1801728,22.3056416,16797,18410,1609,1137
94499300,114.1801728,22.3056416,16797,18410,1609,1137
94499400,114.1801728,22.3056416,16797,18410,1609,1137
94499500,114.1801728,22.3056416,16797,18410,1609,1137
94499600,114.1801728,22.3056416,16797,18410,1609,1137
94499700,114.1801728,22.3056416,16797,18410,1609,1137
94499800,114.1801728,22.3056416,16797,18410,1609,1137
94499900,114.1801728,22.3056416,16797,18410,1609,1137
94500000,114.1801728,22.3056416,16797,18410,1609,1137
94500100,114.1801728,22.3056416,16797,18410,1609,1137
94500200,114.1801728,22.3056416,16797,18410,1609,1137
94500300,114.1801728,22.3056416,16797,18410,1609,1137
94500400,114.1801728,22.3056416,16797,18410,1609,1137
94500500,114.1801728,22.3056416,16797,18410,1609,1137
94500600,114.1801728,22.3056416,16797,18410,1609,1137
94500700,114.1801728,22.3056416,16797,18410,1609,1137
94500800,114.1801728,22.3056416,16797,18410,1609,1137
94500900,114.1801728,22.3056416,16797,18410,1609,1137
94501000,114.1801728,22.3056416,16797,18410,1609,1137
94501100,114.1801728,22.3056416,16797,18410,1609,1137
94501200,114.1801728,22.3056416,16797,18410,1609,1137
94501300,114.1801728,22.3056416,16797,18410,1609,1137
94501400,114.1801728,22.3056416,16797,18410,1609,1137
94501500,114.1801728,22.3056416,16797,18410,1609,1137
94501600,114.1801728,22.3056416,16797,18410,1609,1137
94501700,114.1801728,22.3056416,16797,18410,1609,1137
94501800,114.1801728,22.3056416,16797,18410,1609,1137
94501900,114.1801728,22.3056416,16797,18410,1609,1137
94502000,114.1801728,22.3056416,16797,18410,1609,1137
94502100,114.1801728,22.3056416,16797,18410,1609,1137
94502200,114.1801728,22.3056416,16797,18410,1609,1137
94502300,114.1801728,22.3056416,16797,18410,1609,1137
94502400,114.1801728,22.3056416,16797,18410,1609,1137
94502500,114.1801728,22.3056416,16797,18410,1609,1137
94502600,114.1801728,22.3056416,16797,18410,1609,1137
94502700,114.1801728,22.3056416,16797,18410,1609,1137
94502800,114.1801728,22.3056416,16797,18410,1609,1137
94502900,114.1801728,22.3056416,16797,18410,1609,1137
94503000,114.1801728,22.3056416,16797,18410,1609,1137
94503100,114.1801728,22.3056416,16797,18410,1609,1137
94503200,114.1801728,22.3056416,16797,18410,1609,1137
94503300,114.1801728,22.3056416,16797,18410,1609,1137
94503400,114.1801728,22.3056416,16797,18410,1609,1137
94503500,114.1801728,22.3056416,16797,18410,1609,1137
94503600,114.1801728,22.3056416,16797,18410,1609,1137
94503700,114.1801728,22.3056416,16797,18410,1609,1137
94503800,114.1801728,22.3056416,16797,18410,1609,1137
94503900,114.1801728,22.3056416,16797,18410,1609,1137
94504000,114.1801728,22.3056416,16797,18410,1609,1137
94504100,114.1801728,22.3056416,16797,18410,1609,1137
94504200,114.1801728,22.3056416,16797,18410,1609,1137
94504300,114.1801728,22.3056416,16797,18410,1609,1137
94504400,114.1801728,22.3056416,16797,18410,1609,1137
94504500,114.1801728,22.3056416,16797,18410,1609,1137
94504600,114.1801728,22.3056416,16797,18410,1609,1137
94504700,114.1801728,22.3056416,16797,18410,1609,1137
94504800,114.1801728,22.3056416,16797,18410,1609,1137
94504900,114.1801728,22.3056416,16797,18410,1609,1137
94505000,114.1801728,22.3056416,16797,18410,1609,1137
94505100,114.1801728,22.3056416,16797,18410,1609,1137
94505200,114.1801728,22.3056416,16797,18410,1609,1137
94505300,114.1801728,22.3056416,16797,18410,1609,1137
94505400,114.1801728,22.3056416,16797,18410,1609,1137
94505500,114.1801728,22.3056416,16797,18410,1609,1137
94505600,114.1801728,22.3056416,16797,18410,1609,1137
94505700,114.1801728,22.3056416,16797,18410,1609,1137
94505800,114.1801728,22.3056416,16797,18410,1609,1137
94505900,114.1801728,22.3056416,16797,18410,1609,1137
94506000,114.1801728,22.3056416,16797,18410,1609,1137
94506200,114.1801728,22.3056416,16797,18410,1609,1137
94506400,114.1801728,22.3056416,16797,18410,1609,1137
94506500,114.1801728,22.3056416,16797,18410,1609,1137
94506600,114.1801728,22.3056416,16797,18410,1609,1137
94506700,114.1801728,22.3056416,16797,18410,1609,1137
94506800,114.1801728,22.3056416,16797,18410,1609,1137
94506900,114.1801728,22.3056416,16797,18410,1609,1137
94507000,114.1801728,22.3056416,16797,18410,1609,1137
