iTOW,version,reserved0,gmsLon,gmsLat,gmsCode,qzssSvId,gmsAvailable,qzssSvAvailable,testMode,cnt
94486900,0,0,0.0,0.0,0,0,0,0,0,0
94487000,0,0,0.0,0.0,0,0,0,0,0,0
94487100,0,0,0.0,0.0,0,0,0,0,0,0
94487200,0,0,0.0,0.0,0,0,0,0,0,0
94487300,0,0,0.0,0.0,0,0,0,0,0,0
94487500,0,0,0.0,0.0,0,0,0,0,0,0
94487600,0,0,0.0,0.0,0,0,0,0,0,0
94487700,0,0,0.0,0.0,0,0,0,0,0,0
94487800,0,0,0.0,0.0,0,0,0,0,0,0
94488100,0,0,0.0,0.0,0,0,0,0,0,0
94488200,0,0,0.0,0.0,0,0,0,0,0,0
94488300,0,0,0.0,0.0,0,0,0,0,0,0
94488400,0,0,0.0,0.0,0,0,0,0,0,0
94488500,0,0,0.0,0.0,0,0,0,0,0,0
94488600,0,0,0.0,0.0,0,0,0,0,0,0
94488700,0,0,0.0,0.0,0,0,0,0,0,0
94488800,0,0,0.0,0.0,0,0,0,0,0,0
94488900,0,0,0.0,0.0,0,0,0,0,0,0
94489000,0,0,0.0,0.0,0,0,0,0,0,0
94489100,0,0,0.0,0.0,0,0,0,0,0,0
94489200,0,0,0.0,0.0,0,0,0,0,0,0
94489300,0,0,0.0,0.0,0,0,0,0,0,0
94489400,0,0,0.0,0.0,0,0,0,0,0,0
94489500,0,0,0.0,0.0,0,0,0,0,0,0
94489600,0,0,0.0,0.0,0,0,0,0,0,0
94489700,0,0,0.0,0.0,0,0,0,0,0,0
94489800,0,0,0.0,0.0,0,0,0,0,0,0
94489900,0,0,0.0,0.0,0,0,0,0,0,0
94490000,0,0,0.0,0.0,0,0,0,0,0,0
94490100,0,0,0.0,0.0,0,0,0,0,0,0
94490200,0,0,0.0,0.0,0,0,0,0,0,0
94490300,0,0,0.0,0.0,0,0,0,0,0,0
94490400,0,0,0.0,0.0,0,0,0,0,0,0
94490500,0,0,0.0,0.0,0,0,0,0,0,0
94490600,0,0,0.0,0.0,0,0,0,0,0,0
94490700,0,0,0.0,0.0,0,0,0,0,0,0
94490800,0,0,0.0,0.0,0,0,0,0,0,0
94490900,0,0,0.0,0.0,0,0,0,0,0,0
94491000,0,0,0.0,0.0,0,0,0,0,0,0
94491100,0,0,0.0,0.0,0,0,0,0,0,0
94491200,0,0,0.0,0.0,0,0,0,0,0,0
94491300,0,0,0.0,0.0,0,0,0,0,0,0
94491400,0,0,0.0,0.0,0,0,0,0,0,0
94491500,0,0,0.0,0.0,0,0,0,0,0,0
94491600,0,0,0.0,0.0,0,0,0,0,0,0
94491700,0,0,0.0,0.0,0,0,0,0,0,0
94491800,0,0,0.0,0.0,0,0,0,0,0,0
94491900,0,0,0.0,0.0,0,0,0,0,0,0
94492000,0,0,0.0,0.0,0,0,0,0,0,0
94492100,0,0,0.0,0.0,0,0,0,0,0,0
94492200,0,0,0.0,0.0,0,0,0,0,0,0
94492300,0,0,0.0,0.0,0,0,0,0,0,0
94492400,0,0,0.0,0.0,0,0,0,0,0,0
94492500,0,0,0.0,0.0,0,0,0,0,0,0
94492600,0,0,0.0,0.0,0,0,0,0,0,0
94492700,0,0,0.0,0.0,0,0,0,0,0,0
94492800,0,0,0.0,0.0,0,0,0,0,0,0
94492900,0,0,0.0,0.0,0,0,0,0,0,0
94493000,0,0,0.0,0.0,0,0,0,0,0,0
94493100,0,0,0.0,0.0,0,0,0,0,0,0
94493200,0,0,0.0,0.0,0,0,0,0,0,0
94493300,0,0,0.0,0.0,0,0,0,0,0,0
94493400,0,0,0.0,0.0,0,0,0,0,0,0
94493500,0,0,0.0,0.0,0,0,0,0,0,0
94493600,0,0,0.0,0.0,0,0,0,0,0,0
94493700,0,0,0.0,0.0,0,0,0,0,0,0
94493800,0,0,0.0,0.0,0,0,0,0,0,0
94493900,0,0,0.0,0.0,0,0,0,0,0,0
94494000,0,0,0.0,0.0,0,0,0,0,0,0
94494100,0,0,0.0,0.0,0,0,0,0,0,0
94494200,0,0,0.0,0.0,0,0,0,0,0,0
94494300,0,0,0.0,0.0,0,0,0,0,0,0
94494400,0,0,0.0,0.0,0,0,0,0,0,0
94494500,0,0,0.0,0.0,0,0,0,0,0,0
94494600,0,0,0.0,0.0,0,0,0,0,0,0
94494700,0,0,0.0,0.0,0,0,0,0,0,0
94494800,0,0,0.0,0.0,0,0,0,0,0,0
94494900,0,0,0.0,0.0,0,0,0,0,0,0
94495000,0,0,0.0,0.0,0,0,0,0,0,0
94495100,0,0,0.0,0.0,0,0,0,0,0,0
94495200,0,0,0.0,0.0,0,0,0,0,0,0
94495300,0,0,0.0,0.0,0,0,0,0,0,0
94495400,0,0,0.0,0.0,0,0,0,0,0,0
94495500,0,0,0.0,0.0,0,0,0,0,0,0
94495600,0,0,0.0,0.0,0,0,0,0,0,0
94495700,0,0,0.0,0.0,0,0,0,0,0,0
94495800,0,0,0.0,0.0,0,0,0,0,0,0
94495900,0,0,0.0,0.0,0,0,0,0,0,0
94496000,0,0,0.0,0.0,0,0,0,0,0,0
94496100,0,0,0.0,0.0,0,0,0,0,0,0
94496200,0,0,0.0,0.0,0,0,0,0,0,0
94496300,0,0,0.0,0.0,0,0,0,0,0,0
94496400,0,0,0.0,0.0,0,0,0,0,0,0
94496500,0,0,0.0,0.0,0,0,0,0,0,0
94496600,0,0,0.0,0.0,0,0,0,0,0,0
94496700,0,0,0.0,0.0,0,0,0,0,0,0
94496800,0,0,0.0,0.0,0,0,0,0,0,0
94496900,0,0,0.0,0.0,0,0,0,0,0,0
94497000,0,0,0.0,0.0,0,0,0,0,0,0
94497100,0,0,0.0,0.0,0,0,0,0,0,0
94497200,0,0,0.0,0.0,0,0,0,0,0,0
94497300,0,0,0.0,0.0,0,0,0,0,0,0
94497400,0,0,0.0,0.0,0,0,0,0,0,0
94497500,0,0,0.0,0.0,0,0,0,0,0,0
94497600,0,0,0.0,0.0,0,0,0,0,0,0
94497700,0,0,0.0,0.0,0,0,0,0,0,0
94497800,0,0,0.0,0.0,0,0,0,0,0,0
94497900,0,0,0.0,0.0,0,0,0,0,0,0
94498000,0,0,0.0,0.0,0,0,0,0,0,0
94498100,0,0,0.0,0.0,0,0,0,0,0,0
94498200,0,0,0.0,0.0,0,0,0,0,0,0
94498300,0,0,0.0,0.0,0,0,0,0,0,0
94498400,0,0,0.0,0.0,0,0,0,0,0,0
94498500,0,0,0.0,0.0,0,0,0,0,0,0
94498600,0,0,0.0,0.0,0,0,0,0,0,0
94498700,0,0,0.0,0.0,0,0,0,0,0,0
94498800,0,0,0.0,0.0,0,0,0,0,0,0
94498900,0,0,0.0,0.0,0,0,0,0,0,0
94499000,0,0,0.0,0.0,0,0,0,0,0,0
94499100,0,0,0.0,0.0,0,0,0,0,0,0
94499200,0,0,0.0,0.0,0,0,0,0,0,0
94499300,0,0,0.0,0.0,0,0,0,0,0,0
94499400,0,0,0.0,0.0,0,0,0,0,0,0
94499500,0,0,0.0,0.0,0,0,0,0,0,0
94499600,0,0,0.0,0.0,0,0,0,0,0,0
94499700,0,0,0.0,0.0,0,0,0,0,0,0
94499800,0,0,0.0,0.0,0,0,0,0,0,0
94499900,0,0,0.0,0.0,0,0,0,0,0,0
94500000,0,0,0.0,0.0,0,0,0,0,0,0
94500100,0,0,0.0,0.0,0,0,0,0,0,0
94500200,0,0,0.0,0.0,0,0,0,0,0,0
94500300,0,0,0.0,0.0,0,0,0,0,0,0
94500400,0,0,0.0,0.0,0,0,0,0,0,0
94500500,0,0,0.0,0.0,0,0,0,0,0,0
94500600,0,0,0.0,0.0,0,0,0,0,0,0
94500700,0,0,0.0,0.0,0,0,0,0,0,0
94500800,0,0,0.0,0.0,0,0,0,0,0,0
94500900,0,0,0.0,0.0,0,0,0,0,0,0
94501000,0,0,0.0,0.0,0,0,0,0,0,0
94501100,0,0,0.0,0.0,0,0,0,0,0,0
94501200,0,0,0.0,0.0,0,0,0,0,0,0
94501300,0,0,0.0,0.0,0,0,0,0,0,0
94501400,0,0,0.0,0.0,0,0,0,0,0,0
94501500,0,0,0.0,0.0,0,0,0,0,0,0
94501600,0,0,0.0,0.0,0,0,0,0,0,0
94501700,0,0,0.0,0.0,0,0,0,0,0,0
94501800,0,0,0.0,0.0,0,0,0,0,0,0
94501900,0,0,0.0,0.0,0,0,0,0,0,0
94502000,0,0,0.0,0.0,0,0,0,0,0,0
94502100,0,0,0.0,0.0,0,0,0,0,0,0
94502200,0,0,0.0,0.0,0,0,0,0,0,0
94502300,0,0,0.0,0.0,0,0,0,0,0,0
94502400,0,0,0.0,0.0,0,0,0,0,0,0
94502500,0,0,0.0,0.0,0,0,0,0,0,0
94502600,0,0,0.0,0.0,0,0,0,0,0,0
94502700,0,0,0.0,0.0,0,0,0,0,0,0
94502800,0,0,0.0,0.0,0,0,0,0,0,0
94502900,0,0,0.0,0.0,0,0,0,0,0,0
94503000,0,0,0.0,0.0,0,0,0,0,0,0
94503100,0,0,0.0,0.0,0,0,0,0,0,0
94503200,0,0,0.0,0.0,0,0,0,0,0,0
94503300,0,0,0.0,0.0,0,0,0,0,0,0
94503400,0,0,0.0,0.0,0,0,0,0,0,0
94503500,0,0,0.0,0.0,0,0,0,0,0,0
94503600,0,0,0.0,0.0,0,0,0,0,0,0
94503700,0,0,0.0,0.0,0,0,0,0,0,0
