iTOW,gpsFix,gpsFixOk,diffSoln,wknSet,towSet,diffCorr,carrSolnValid,mapMatching,psmState,spoofDetState,carrSoln,ttff,msss
94486900,5,1,0,1,1,0,1,0,0,1,0,3558,112262
94487000,5,1,0,1,1,0,1,0,0,1,0,3558,112362
94487100,5,1,0,1,1,0,1,0,0,1,0,3558,112462
94487200,5,1,0,1,1,0,1,0,0,1,0,3558,112562
94487300,5,1,0,1,1,0,1,0,0,1,0,3558,112662
94487500,5,1,0,1,1,0,1,0,0,1,0,3558,112862
94487600,5,1,0,1,1,0,1,0,0,1,0,3558,112962
94487700,5,1,0,1,1,0,1,0,0,1,0,3558,113062
94487800,5,1,0,1,1,0,1,0,0,1,0,3558,113162
94488100,5,1,0,1,1,0,1,0,0,1,0,3558,113462
94488200,5,1,0,1,1,0,1,0,0,1,0,3558,113562
94488300,5,1,0,1,1,0,1,0,0,1,0,3558,113662
94488400,5,1,0,1,1,0,1,0,0,1,0,3558,113762
94488500,5,1,0,1,1,0,1,0,0,1,0,3558,113862
94488600,5,1,0,1,1,0,1,0,0,1,0,3558,113962
94488700,5,1,0,1,1,0,1,0,0,1,0,3558,114062
94488800,5,1,0,1,1,0,1,0,0,1,0,3558,114162
94488900,5,1,0,1,1,0,1,0,0,1,0,3558,114262
94489000,5,1,0,1,1,0,1,0,0,1,0,3558,114362
94489100,5,1,0,1,1,0,1,0,0,1,0,3558,114462
94489200,5,1,0,1,1,0,1,0,0,1,0,3558,114562
94489300,5,1,0,1,1,0,1,0,0,1,0,3558,114662
94489400,5,1,0,1,1,0,1,0,0,1,0,3558,114762
94489500,5,1,0,1,1,0,1,0,0,1,0,3558,114862
94489600,5,1,0,1,1,0,1,0,0,1,0,3558,114962
94489700,5,1,0,1,1,0,1,0,0,1,0,3558,115062
94489800,5,1,0,1,1,0,1,0,0,1,0,3558,115162
94489900,5,1,0,1,1,0,1,0,0,1,0,3558,115262
94490000,5,1,0,1,1,0,1,0,0,1,0,3558,115362
94490100,5,1,0,1,1,0,1,0,0,1,0,3558,115462
94490200,5,1,0,1,1,0,1,0,0,1,0,3558,115562
94490300,5,1,0,1,1,0,1,0,0,1,0,3558,115662
94490400,5,1,0,1,1,0,1,0,0,1,0,3558,115762
94490500,5,1,0,1,1,0,1,0,0,1,0,3558,115862
94490600,5,1,0,1,1,0,1,0,0,1,0,3558,115962
94490700,5,1,0,1,1,0,1,0,0,1,0,3558,116062
94490800,5,1,0,1,1,0,1,0,0,1,0,3558,116162
94490900,5,1,0,1,1,0,1,0,0,1,0,3558,116262
94491000,5,1,0,1,1,0,1,0,0,1,0,3558,116362
94491100,5,1,0,1,1,0,1,0,0,1,0,3558,116462
94491200,5,1,0,1,1,0,1,0,0,1,0,3558,116562
94491300,5,1,0,1,1,0,1,0,0,1,0,3558,116662
94491400,5,1,0,1,1,0,1,0,0,1,0,3558,116762
94491500,5,1,0,1,1,0,1,0,0,1,0,3558,116862
94491600,5,1,0,1,1,0,1,0,0,1,0,3558,116962
94491700,5,1,0,1,1,0,1,0,0,1,0,3558,117062
94491800,5,1,0,1,1,0,1,0,0,1,0,3558,117162
94491900,5,1,0,1,1,0,1,0,0,1,0,3558,117262
94492000,5,1,0,1,1,0,1,0,0,1,0,3558,117362
94492100,5,1,0,1,1,0,1,0,0,1,0,3558,117462
94492200,5,1,0,1,1,0,1,0,0,1,0,3558,117562
94492300,5,1,0,1,1,0,1,0,0,1,0,3558,117662
94492400,5,1,0,1,1,0,1,0,0,1,0,3558,117762
94492500,5,1,0,1,1,0,1,0,0,1,0,3558,117862
94492600,5,1,0,1,1,0,1,0,0,1,0,3558,117962
94492700,5,1,0,1,1,0,1,0,0,1,0,3558,118062
94492800,5,1,0,1,1,0,1,0,0,1,0,3558,118162
94492900,5,1,0,1,1,0,1,0,0,1,0,3558,118262
94493000,5,1,0,1,1,0,1,0,0,1,0,3558,118362
94493100,5,1,0,1,1,0,1,0,0,1,0,3558,118462
94493200,5,1,0,1,1,0,1,0,0,1,0,3558,118562
94493300,5,1,0,1,1,0,1,0,0,1,0,3558,118662
94493400,5,1,0,1,1,0,1,0,0,1,0,3558,118762
94493500,5,1,0,1,1,0,1,0,0,1,0,3558,118862
94493600,5,1,0,1,1,0,1,0,0,1,0,3558,118962
94493700,5,1,0,1,1,0,1,0,0,1,0,3558,119062
94493800,5,1,0,1,1,0,1,0,0,1,0,3558,119162
94493900,5,1,0,1,1,0,1,0,0,1,0,3558,119262
94494000,5,1,0,1,1,0,1,0,0,1,0,3558,119362
94494100,5,1,0,1,1,0,1,0,0,1,0,3558,119462
94494200,5,1,0,1,1,0,1,0,0,1,0,3558,119562
94494300,5,1,0,1,1,0,1,0,0,1,0,3558,119662
94494400,5,1,0,1,1,0,1,0,0,1,0,3558,119762
94494500,5,1,0,1,1,0,1,0,0,1,0,3558,119862
94494600,5,1,0,1,1,0,1,0,0,1,0,3558,119962
94494700,5,1,0,1,1,0,1,0,0,1,0,3558,120062
94494800,5,1,0,1,1,0,1,0,0,1,0,3558,120162
94494900,5,1,0,1,1,0,1,0,0,1,0,3558,120262
94495000,5,1,0,1,1,0,1,0,0,1,0,3558,120362
94495100,5,1,0,1,1,0,1,0,0,1,0,3558,120462
94495200,5,1,0,1,1,0,1,0,0,1,0,3558,120562
94495300,5,1,0,1,1,0,1,0,0,1,0,3558,120662
94495400,5,1,0,1,1,0,1,0,0,1,0,3558,120762
94495500,5,1,0,1,1,0,1,0,0,1,0,3558,120862
94495600,5,1,0,1,1,0,1,0,0,1,0,3558,120962
94495700,5,1,0,1,1,0,1,0,0,1,0,3558,121062
94495800,5,1,0,1,1,0,1,0,0,1,0,3558,121162
94495900,5,1,0,1,1,0,1,0,0,1,0,3558,121262
94496000,5,1,0,1,1,0,1,0,0,1,0,3558,121362
94496100,5,1,0,1,1,0,1,0,0,1,0,3558,121462
