iTOW,SOW,fSOW,week,leapS,sowValid,weekValid,leapSValid,tAcc
94486900,94473,-99634094,1034,4,1,1,1,2
94487000,94473,365885,1034,4,1,1,1,2
94487100,94473,100365863,1034,4,1,1,1,2
94487200,94473,200365842,1034,4,1,1,1,2
94487300,94473,300365821,1034,4,1,1,1,2
94487500,94474,-499634222,1034,4,1,1,1,2
94487600,94474,-399634243,1034,4,1,1,1,2
94487700,94474,-299634264,1034,4,1,1,1,2
94487800,94474,-199634285,1034,4,1,1,1,2
94488100,94474,100365651,1034,4,1,1,1,2
94488200,94474,200365630,1034,4,1,1,1,2
94488300,94474,300365608,1034,4,1,1,1,2
94488400,94474,400365587,1034,4,1,1,1,2
94488500,94475,-499634434,1034,4,1,1,1,2
94488600,94475,-399634455,1034,4,1,1,1,2
94488700,94475,-299634477,1034,4,1,1,1,2
94488800,94475,-199634498,1034,4,1,1,1,2
94488900,94475,-99634519,1034,4,1,1,1,2
94489000,94475,365459,1034,4,1,1,1,2
94489100,94475,100365438,1034,4,1,1,1,2
94489200,94475,200365417,1034,4,1,1,1,2
94489300,94475,300365396,1034,4,1,1,1,2
94489400,94475,400365374,1034,4,1,1,1,2
94489500,94476,-499634647,1034,4,1,1,1,2
94489600,94476,-399634668,1034,4,1,1,1,2
94489700,94476,-299634689,1034,4,1,1,1,2
94489800,94476,-199634711,1034,4,1,1,1,2
94489900,94476,-99634732,1034,4,1,1,1,2
94490000,94476,365247,1034,4,1,1,1,2
94490100,94476,100365225,1034,4,1,1,1,2
94490200,94476,200365204,1034,4,1,1,1,2
94490300,94476,300365182,1034,4,1,1,1,2
94490400,94476,400365161,1034,4,1,1,1,2
94490500,94477,-499634860,1034,4,1,1,1,2
94490600,94477,-399634881,1034,4,1,1,1,2
94490700,94477,-299634903,1034,4,1,1,1,2
94490800,94477,-199634924,1034,4,1,1,1,2
94490900,94477,-99634945,1034,4,1,1,1,2
94491000,94477,365033,1034,4,1,1,1,2
94491100,94477,100365012,1034,4,1,1,1,2
94491200,94477,200364991,1034,4,1,1,1,2
94491300,94477,300364970,1034,4,1,1,1,2
94491400,94477,400364948,1034,4,1,1,1,2
94491500,94478,-499635073,1034,4,1,1,1,2
94491600,94478,-399635094,1034,4,1,1,1,2
94491700,94478,-299635115,1034,4,1,1,1,2
94491800,94478,-199635137,1034,4,1,1,1,2
94491900,94478,-99635158,1034,4,1,1,1,2
94492000,94478,364821,1034,4,1,1,1,2
94492100,94478,100364800,1034,4,1,1,1,2
94492200,94478,200364778,1034,4,1,1,1,2
94492300,94478,300364757,1034,4,1,1,1,2
94492400,94478,400364736,1034,4,1,1,1,2
94492500,94479,-499635286,1034,4,1,1,1,2
94492600,94479,-399635307,1034,4,1,1,1,2
