iTOW,galTow,fGalTow,galWno,leapS,galTowValid,galWnoValid,leapSValid,tAcc
94486900,94487,-99634074,1366,18,1,1,1,2
94487000,94487,365905,1366,18,1,1,1,2
94487100,94487,100365884,1366,18,1,1,1,2
94487200,94487,200365862,1366,18,1,1,1,2
94487300,94487,300365841,1366,18,1,1,1,2
94487500,94488,-499634201,1366,18,1,1,1,2
94487600,94488,-399634223,1366,18,1,1,1,2
94487700,94488,-299634244,1366,18,1,1,1,2
94487800,94488,-199634265,1366,18,1,1,1,2
94488100,94488,100365671,1366,18,1,1,1,2
94488200,94488,200365650,1366,18,1,1,1,2
94488300,94488,300365629,1366,18,1,1,1,2
94488400,94488,400365607,1366,18,1,1,1,2
94488500,94489,-499634414,1366,18,1,1,1,2
94488600,94489,-399634435,1366,18,1,1,1,2
94488700,94489,-299634456,1366,18,1,1,1,2
94488800,94489,-199634478,1366,18,1,1,1,2
94488900,94489,-99634499,1366,18,1,1,1,2
94489000,94489,365480,1366,18,1,1,1,2
94489100,94489,100365458,1366,18,1,1,1,2
94489200,94489,200365437,1366,18,1,1,1,2
94489300,94489,300365416,1366,18,1,1,1,2
94489400,94489,400365394,1366,18,1,1,1,2
94489500,94490,-499634627,1366,18,1,1,1,2
94489600,94490,-399634648,1366,18,1,1,1,2
94489700,94490,-299634669,1366,18,1,1,1,2
94489800,94490,-199634691,1366,18,1,1,1,2
94489900,94490,-99634712,1366,18,1,1,1,2
94490000,94490,365267,1366,18,1,1,1,2
94490100,94490,100365245,1366,18,1,1,1,2
94490200,94490,200365224,1366,18,1,1,1,2
94490300,94490,300365203,1366,18,1,1,1,2
94490400,94490,400365181,1366,18,1,1,1,2
94490500,94491,-499634840,1366,18,1,1,1,2
94490600,94491,-399634861,1366,18,1,1,1,2
94490700,94491,-299634883,1366,18,1,1,1,2
94490800,94491,-199634904,1366,18,1,1,1,2
94490900,94491,-99634925,1366,18,1,1,1,2
94491000,94491,365054,1366,18,1,1,1,2
94491100,94491,100365032,1366,18,1,1,1,2
94491200,94491,200365011,1366,18,1,1,1,2
94491300,94491,300364990,1366,18,1,1,1,2
94491400,94491,400364968,1366,18,1,1,1,2
94491500,94492,-499635053,1366,18,1,1,1,2
94491600,94492,-399635074,1366,18,1,1,1,2
94491700,94492,-299635095,1366,18,1,1,1,2
94491800,94492,-199635117,1366,18,1,1,1,2
94491900,94492,-99635138,1366,18,1,1,1,2
94492000,94492,364841,1366,18,1,1,1,2
94492100,94492,100364820,1366,18,1,1,1,2
94492200,94492,200364798,1366,18,1,1,1,2
94492300,94492,300364777,1366,18,1,1,1,2
94492400,94492,400364756,1366,18,1,1,1,2
94492500,94493,-499635266,1366,18,1,1,1,2
94492600,94493,-399635287,1366,18,1,1,1,2
94492700,94493,-299635308,1366,18,1,1,1,2
94492800,94493,-199635329,1366,18,1,1,1,2
94492900,94493,-99635350,1366,18,1,1,1,2
94493000,94493,364629,1366,18,1,1,1,2
94493100,94493,100364607,1366,18,1,1,1,2
94493200,94493,200364586,1366,18,1,1,1,2
94493300,94493,300364565,1366,18,1,1,1,2
94493400,94493,400364544,1366,18,1,1,1,2
94493500,94494,-499635478,1366,18,1,1,1,2
94493600,94494,-399635499,1366,18,1,1,1,2
94493700,94494,-299635520,1366,18,1,1,1,2
94493800,94494,-199635542,1366,18,1,1,1,2
94493900,94494,-99635563,1366,18,1,1,1,2
94494000,94494,364416,1366,18,1,1,1,2
94494100,94494,100364395,1366,18,1,1,1,2
94494200,94494,200364373,1366,18,1,1,1,2
94494300,94494,300364352,1366,18,1,1,1,2
94494400,94494,400364331,1366,18,1,1,1,2
94494500,94495,-499635690,1366,18,1,1,1,2
94494600,94495,-399635711,1366,18,1,1,1,2
94494700,94495,-299635733,1366,18,1,1,1,2
94494800,94495,-199635753,1366,18,1,1,1,2
94494900,94495,-99635774,1366,18,1,1,1,2
94495000,94495,364205,1366,18,1,1,1,2
94495100,94495,100364184,1366,18,1,1,1,2
94495200,94495,200364163,1366,18,1,1,1,2
94495300,94495,300364142,1366,18,1,1,1,2
94495400,94495,400364121,1366,18,1,1,1,2
94495500,94496,-499635900,1366,18,1,1,1,2
94495600,94496,-399635921,1366,18,1,1,1,2
94495700,94496,-299635942,1366,18,1,1,1,2
94495800,94496,-199635963,1366,18,1,1,1,2
94495900,94496,-99635984,1366,18,1,1,1,2
94496000,94496,363995,1366,18,1,1,1,2
94496100,94496,100363974,1366,18,1,1,1,2
94496200,94496,200363953,1366,18,1,1,1,2
94496300,94496,300363931,1366,18,1,1,1,2
94496400,94496,400363910,1366,18,1,1,1,2
94496500,94497,-499636111,1366,18,1,1,1,2
94496600,94497,-399636132,1366,18,1,1,1,2
94496700,94497,-299636153,1366,18,1,1,1,2
94496800,94497,-199636174,1366,18,1,1,1,2
94496900,94497,-99636195,1366,18,1,1,1,2
94497000,94497,363784,1366,18,1,1,1,2
94497100,94497,100363763,1366,18,1,1,1,2
94497200,94497,200363742,1366,18,1,1,1,2
