iTOW,fTOW,week,leapS,towValid,weekValid,leapSValid,tAcc
94486900,365922,2390,18,1,1,1,2
94487000,365901,2390,18,1,1,1,2
94487100,365880,2390,18,1,1,1,2
94487200,365859,2390,18,1,1,1,2
94487300,365837,2390,18,1,1,1,2
94487500,365795,2390,18,1,1,1,2
94487600,365774,2390,18,1,1,1,2
94487700,365752,2390,18,1,1,1,2
94487800,365731,2390,18,1,1,1,2
94488100,365667,2390,18,1,1,1,2
94488200,365646,2390,18,1,1,1,2
94488300,365625,2390,18,1,1,1,2
94488400,365604,2390,18,1,1,1,2
94488500,365582,2390,18,1,1,1,2
94488600,365561,2390,18,1,1,1,2
94488700,365540,2390,18,1,1,1,2
94488800,365518,2390,18,1,1,1,2
94488900,365497,2390,18,1,1,1,2
94489000,365476,2390,18,1,1,1,2
94489100,365455,2390,18,1,1,1,2
94489200,365433,2390,18,1,1,1,2
94489300,365412,2390,18,1,1,1,2
94489400,365391,2390,18,1,1,1,2
94489500,365369,2390,18,1,1,1,2
94489600,365348,2390,18,1,1,1,2
94489700,365327,2390,18,1,1,1,2
94489800,365306,2390,18,1,1,1,2
94489900,365284,2390,18,1,1,1,2
94490000,365263,2390,18,1,1,1,2
94490100,365242,2390,18,1,1,1,2
94490200,365220,2390,18,1,1,1,2
94490300,365199,2390,18,1,1,1,2
94490400,365177,2390,18,1,1,1,2
94490500,365156,2390,18,1,1,1,2
94490600,365135,2390,18,1,1,1,2
94490700,365114,2390,18,1,1,1,2
94490800,365092,2390,18,1,1,1,2
94490900,365071,2390,18,1,1,1,2
94491000,365050,2390,18,1,1,1,2
94491100,365029,2390,18,1,1,1,2
94491200,365007,2390,18,1,1,1,2
94491300,364986,2390,18,1,1,1,2
94491400,364965,2390,18,1,1,1,2
94491500,364943,2390,18,1,1,1,2
94491600,364922,2390,18,1,1,1,2
94491700,364901,2390,18,1,1,1,2
94491800,364880,2390,18,1,1,1,2
94491900,364858,2390,18,1,1,1,2
94492000,364837,2390,18,1,1,1,2
94492100,364816,2390,18,1,1,1,2
94492200,364795,2390,18,1,1,1,2
94492300,364773,2390,18,1,1,1,2
94492400,364752,2390,18,1,1,1,2
94492500,364731,2390,18,1,1,1,2
94492600,364710,2390,18,1,1,1,2
94492700,364689,2390,18,1,1,1,2
94492800,364667,2390,18,1,1,1,2
94492900,364646,2390,18,1,1,1,2
94493000,364625,2390,18,1,1,1,2
94493100,364604,2390,18,1,1,1,2
94493200,364582,2390,18,1,1,1,2
94493300,364561,2390,18,1,1,1,2
94493400,364540,2390,18,1,1,1,2
94493500,364519,2390,18,1,1,1,2
94493600,364497,2390,18,1,1,1,2
94493700,364476,2390,18,1,1,1,2
94493800,364455,2390,18,1,1,1,2
94493900,364433,2390,18,1,1,1,2
94494000,364412,2390,18,1,1,1,2
94494100,364391,2390,18,1,1,1,2
94494200,364370,2390,18,1,1,1,2
94494300,364349,2390,18,1,1,1,2
