iTOW,version,reserved0,srcOfCurrLs,currLs,srcOfLsChange,lsChange,timeToLsEvent,dateOfLsGpsWn,dateOfLsGpsDn,reserved1,validCurrLs,validTimeToLsEvent
94486900,0,0,2,18,2,0,31355132,2441,7,0,1,1
94487000,0,0,2,18,2,0,31355131,2441,7,0,1,1
94487100,0,0,2,18,2,0,31355131,2441,7,0,1,1
94487200,0,0,2,18,2,0,31355131,2441,7,0,1,1
94487300,0,0,2,18,2,0,31355131,2441,7,0,1,1
94487500,0,0,2,18,2,0,31355131,2441,7,0,1,1
94487600,0,0,2,18,2,0,31355131,2441,7,0,1,1
94487700,0,0,2,18,2,0,31355131,2441,7,0,1,1
94487800,0,0,2,18,2,0,31355131,2441,7,0,1,1
94488100,0,0,2,18,2,0,31355130,2441,7,0,1,1
94488200,0,0,2,18,2,0,31355130,2441,7,0,1,1
94488300,0,0,2,18,2,0,31355130,2441,7,0,1,1
94488400,0,0,2,18,2,0,31355130,2441,7,0,1,1
94488500,0,0,2,18,2,0,31355130,2441,7,0,1,1
94488600,0,0,2,18,2,0,31355130,2441,7,0,1,1
94488700,0,0,2,18,2,0,31355130,2441,7,0,1,1
94488800,0,0,2,18,2,0,31355130,2441,7,0,1,1
94488900,0,0,2,18,2,0,31355130,2441,7,0,1,1
94489000,0,0,2,18,2,0,31355129,2441,7,0,1,1
94489100,0,0,2,18,2,0,31355129,2441,7,0,1,1
94489200,0,0,2,18,2,0,31355129,2441,7,0,1,1
94489300,0,0,2,18,2,0,31355129,2441,7,0,1,1
94489400,0,0,2,18,2,0,31355129,2441,7,0,1,1
94489500,0,0,2,18,2,0,31355129,2441,7,0,1,1
94489600,0,0,2,18,2,0,31355129,2441,7,0,1,1
94489700,0,0,2,18,2,0,31355129,2441,7,0,1,1
94489800,0,0,2,18,2,0,31355129,2441,7,0,1,1
94489900,0,0,2,18,2,0,31355129,2441,7,0,1,1
94490000,0,0,2,18,2,0,31355128,2441,7,0,1,1
94490100,0,0,2,18,2,0,31355128,2441,7,0,1,1
94490200,0,0,2,18,2,0,31355128,2441,7,0,1,1
94490300,0,0,2,18,2,0,31355128,2441,7,0,1,1
94490400,0,0,2,18,2,0,31355128,2441,7,0,1,1
94490500,0,0,2,18,2,0,31355128,2441,7,0,1,1
94490600,0,0,2,18,2,0,31355128,2441,7,0,1,1
94490700,0,0,2,18,2,0,31355128,2441,7,0,1,1
94490800,0,0,2,18,2,0,31355128,2441,7,0,1,1
94490900,0,0,2,18,2,0,31355128,2441,7,0,1,1
94491000,0,0,2,18,2,0,31355127,2441,7,0,1,1
94491100,0,0,2,18,2,0,31355127,2441,7,0,1,1
94491200,0,0,2,18,2,0,31355127,2441,7,0,1,1
94491300,0,0,2,18,2,0,31355127,2441,7,0,1,1
94491400,0,0,2,18,2,0,31355127,2441,7,0,1,1
94491500,0,0,2,18,2,0,31355127,2441,7,0,1,1
94491600,0,0,2,18,2,0,31355127,2441,7,0,1,1
94491700,0,0,2,18,2,0,31355127,2441,7,0,1,1
94491800,0,0,2,18,2,0,31355127,2441,7,0,1,1
94491900,0,0,2,18,2,0,31355127,2441,7,0,1,1
94492000,0,0,2,18,2,0,31355126,2441,7,0,1,1
94492100,0,0,2,18,2,0,31355126,2441,7,0,1,1
94492200,0,0,2,18,2,0,31355126,2441,7,0,1,1
94492300,0,0,2,18,2,0,31355126,2441,7,0,1,1
94492400,0,0,2,18,2,0,31355126,2441,7,0,1,1
94492500,0,0,2,18,2,0,31355126,2441,7,0,1,1
94492600,0,0,2,18,2,0,31355126,2441,7,0,1,1
94492700,0,0,2,18,2,0,31355126,2441,7,0,1,1
94492800,0,0,2,18,2,0,31355126,2441,7,0,1,1
94492900,0,0,2,18,2,0,31355126,2441,7,0,1,1
94493000,0,0,2,18,2,0,31355125,2441,7,0,1,1
94493100,0,0,2,18,2,0,31355125,2441,7,0,1,1
94493200,0,0,2,18,2,0,31355125,2441,7,0,1,1
94493300,0,0,2,18,2,0,31355125,2441,7,0,1,1
94493400,0,0,2,18,2,0,31355125,2441,7,0,1,1
94493500,0,0,2,18,2,0,31355125,2441,7,0,1,1
94493600,0,0,2,18,2,0,31355125,2441,7,0,1,1
94493700,0,0,2,18,2,0,31355125,2441,7,0,1,1
94493800,0,0,2,18,2,0,31355125,2441,7,0,1,1
94493900,0,0,2,18,2,0,31355125,2441,7,0,1,1
94494000,0,0,2,18,2,0,31355124,2441,7,0,1,1
94494100,0,0,2,18,2,0,31355124,2441,7,0,1,1
94494200,0,0,2,18,2,0,31355124,2441,7,0,1,1
94494300,0,0,2,18,2,0,31355124,2441,7,0,1,1
94494400,0,0,2,18,2,0,31355124,2441,7,0,1,1
94494500,0,0,2,18,2,0,31355124,2441,7,0,1,1
94494600,0,0,2,18,2,0,31355124,2441,7,0,1,1
94494700,0,0,2,18,2,0,31355124,2441,7,0,1,1
94494800,0,0,2,18,2,0,31355124,2441,7,0,1,1
94494900,0,0,2,18,2,0,31355124,2441,7,0,1,1
94495000,0,0,2,18,2,0,31355123,2441,7,0,1,1
94495100,0,0,2,18,2,0,31355123,2441,7,0,1,1
94495200,0,0,2,18,2,0,31355123,2441,7,0,1,1
94495300,0,0,2,18,2,0,31355123,2441,7,0,1,1
94495400,0,0,2,18,2,0,31355123,2441,7,0,1,1
94495500,0,0,2,18,2,0,31355123,2441,7,0,1,1
94495600,0,0,2,18,2,0,31355123,2441,7,0,1,1
94495700,0,0,2,18,2,0,31355123,2441,7,0,1,1
94495800,0,0,2,18,2,0,31355123,2441,7,0,1,1
94495900,0,0,2,18,2,0,31355123,2441,7,0,1,1
94496000,0,0,2,18,2,0,31355122,2441,7,0,1,1
94496100,0,0,2,18,2,0,31355122,2441,7,0,1,1
94496200,0,0,2,18,2,0,31355122,2441,7,0,1,1
94496300,0,0,2,18,2,0,31355122,2441,7,0,1,1
94496400,0,0,2,18,2,0,31355122,2441,7,0,1,1
94496500,0,0,2,18,2,0,31355122,2441,7,0,1,1
94496600,0,0,2,18,2,0,31355122,2441,7,0,1,1
94496700,0,0,2,18,2,0,31355122,2441,7,0,1,1
94496800,0,0,2,18,2,0,31355122,2441,7,0,1,1
94496900,0,0,2,18,2,0,31355122,2441,7,0,1,1
94497000,0,0,2,18,2,0,31355121,2441,7,0,1,1
94497100,0,0,2,18,2,0,31355121,2441,7,0,1,1
94497200,0,0,2,18,2,0,31355121,2441,7,0,1,1
94497300,0,0,2,18,2,0,31355121,2441,7,0,1,1
94497400,0,0,2,18,2,0,31355121,2441,7,0,1,1
94497500,0,0,2,18,2,0,31355121,2441,7,0,1,1
94497600,0,0,2,18,2,0,31355121,2441,7,0,1,1
94497700,0,0,2,18,2,0,31355121,2441,7,0,1,1
94497800,0,0,2,18,2,0,31355121,2441,7,0,1,1
94497900,0,0,2,18,2,0,31355121,2441,7,0,1,1
94498000,0,0,2,18,2,0,31355120,2441,7,0,1,1
94498100,0,0,2,18,2,0,31355120,2441,7,0,1,1
94498200,0,0,2,18,2,0,31355120,2441,7,0,1,1
94498300,0,0,2,18,2,0,31355120,2441,7,0,1,1
94498400,0,0,2,18,2,0,31355120,2441,7,0,1,1
94498500,0,0,2,18,2,0,31355120,2441,7,0,1,1
94498600,0,0,2,18,2,0,31355120,2441,7,0,1,1
94498700,0,0,2,18,2,0,31355120,2441,7,0,1,1
94498800,0,0,2,18,2,0,31355120,2441,7,0,1,1
94498900,0,0,2,18,2,0,31355120,2441,7,0,1,1
94499000,0,0,2,18,2,0,31355119,2441,7,0,1,1
94499100,0,0,2,18,2,0,31355119,2441,7,0,1,1
94499200,0,0,2,18,2,0,31355119,2441,7,0,1,1
94499300,0,0,2,18,2,0,31355119,2441,7,0,1,1
94499400,0,0,2,18,2,0,31355119,2441,7,0,1,1
94499500,0,0,2,18,2,0,31355119,2441,7,0,1,1
94499600,0,0,2,18,2,0,31355119,2441,7,0,1,1
94499700,0,0,2,18,2,0,31355119,2441,7,0,1,1
94499800,0,0,2,18,2,0,31355119,2441,7,0,1,1
94499900,0,0,2,18,2,0,31355119,2441,7,0,1,1
94500000,0,0,2,18,2,0,31355118,2441,7,0,1,1
94500100,0,0,2,18,2,0,31355118,2441,7,0,1,1
94500200,0,0,2,18,2,0,31355118,2441,7,0,1,1
94500300,0,0,2,18,2,0,31355118,2441,7,0,1,1
94500400,0,0,2,18,2,0,31355118,2441,7,0,1,1
94500500,0,0,2,18,2,0,31355118,2441,7,0,1,1
94500600,0,0,2,18,2,0,31355118,2441,7,0,1,1
94500700,0,0,2,18,2,0,31355118,2441,7,0,1,1
94500800,0,0,2,18,2,0,31355118,2441,7,0,1,1
94500900,0,0,2,18,2,0,31355118,2441,7,0,1,1
94501000,0,0,2,18,2,0,31355117,2441,7,0,1,1
94501100,0,0,2,18,2,0,31355117,2441,7,0,1,1
94501200,0,0,2,18,2,0,31355117,2441,7,0,1,1
94501300,0,0,2,18,2,0,31355117,2441,7,0,1,1
94501400,0,0,2,18,2,0,31355117,2441,7,0,1,1
94501500,0,0,2,18,2,0,31355117,2441,7,0,1,1
94501600,0,0,2,18,2,0,31355117,2441,7,0,1,1
94501700,0,0,2,18,2,0,31355117,2441,7,0,1,1
94501800,0,0,2,18,2,0,31355117,2441,7,0,1,1
94501900,0,0,2,18,2,0,31355117,2441,7,0,1,1
