iTOW,qzssTow,fQzssTow,qzssWno,leapS,qzssTowValid,qzssWnoValid,leapSValid,tAcc
94486900,94487,-99634076,2390,18,1,1,1,2
94487000,94487,365903,2390,18,1,1,1,2
94487100,94487,100365882,2390,18,1,1,1,2
94487200,94487,200365861,2390,18,1,1,1,2
94487300,94487,300365839,2390,18,1,1,1,2
94487500,94488,-499634203,2390,18,1,1,1,2
94487600,94488,-399634224,2390,18,1,1,1,2
94487700,94488,-299634246,2390,18,1,1,1,2
94487800,94488,-199634267,2390,18,1,1,1,2
94488100,94488,100365669,2390,18,1,1,1,2
94488200,94488,200365648,2390,18,1,1,1,2
94488300,94488,300365627,2390,18,1,1,1,2
94488400,94488,400365606,2390,18,1,1,1,2
94488500,94489,-499634416,2390,18,1,1,1,2
94488600,94489,-399634437,2390,18,1,1,1,2
94488700,94489,-299634458,2390,18,1,1,1,2
94488800,94489,-199634479,2390,18,1,1,1,2
94488900,94489,-99634501,2390,18,1,1,1,2
94489000,94489,365478,2390,18,1,1,1,2
94489100,94489,100365457,2390,18,1,1,1,2
94489200,94489,200365435,2390,18,1,1,1,2
94489300,94489,300365414,2390,18,1,1,1,2
94489400,94489,400365393,2390,18,1,1,1,2
94489500,94490,-499634628,2390,18,1,1,1,2
94489600,94490,-399634650,2390,18,1,1,1,2
94489700,94490,-299634671,2390,18,1,1,1,2
94489800,94490,-199634692,2390,18,1,1,1,2
94489900,94490,-99634714,2390,18,1,1,1,2
94490000,94490,365265,2390,18,1,1,1,2
94490100,94490,100365244,2390,18,1,1,1,2
94490200,94490,200365222,2390,18,1,1,1,2
94490300,94490,300365201,2390,18,1,1,1,2
94490400,94490,400365180,2390,18,1,1,1,2
94490500,94491,-499634842,2390,18,1,1,1,2
94490600,94491,-399634863,2390,18,1,1,1,2
94490700,94491,-299634884,2390,18,1,1,1,2
94490800,94491,-199634906,2390,18,1,1,1,2
94490900,94491,-99634927,2390,18,1,1,1,2
94491000,94491,365052,2390,18,1,1,1,2
94491100,94491,100365031,2390,18,1,1,1,2
94491200,94491,200365009,2390,18,1,1,1,2
94491300,94491,300364988,2390,18,1,1,1,2
94491400,94491,400364967,2390,18,1,1,1,2
94491500,94492,-499635054,2390,18,1,1,1,2
94491600,94492,-399635076,2390,18,1,1,1,2
94491700,94492,-299635097,2390,18,1,1,1,2
94491800,94492,-199635118,2390,18,1,1,1,2
94491900,94492,-99635140,2390,18,1,1,1,2
94492000,94492,364839,2390,18,1,1,1,2
94492100,94492,100364818,2390,18,1,1,1,2
94492200,94492,200364797,2390,18,1,1,1,2
94492300,94492,300364775,2390,18,1,1,1,2
94492400,94492,400364754,2390,18,1,1,1,2
94492500,94493,-499635267,2390,18,1,1,1,2
94492600,94493,-399635288,2390,18,1,1,1,2
94492700,94493,-299635309,2390,18,1,1,1,2
94492800,94493,-199635330,2390,18,1,1,1,2
94492900,94493,-99635352,2390,18,1,1,1,2
94493000,94493,364627,2390,18,1,1,1,2
94493100,94493,100364606,2390,18,1,1,1,2
94493200,94493,200364585,2390,18,1,1,1,2
94493300,94493,300364563,2390,18,1,1,1,2
94493400,94493,400364542,2390,18,1,1,1,2
94493500,94494,-499635479,2390,18,1,1,1,2
94493600,94494,-399635501,2390,18,1,1,1,2
94493700,94494,-299635522,2390,18,1,1,1,2
94493800,94494,-199635543,2390,18,1,1,1,2
94493900,94494,-99635564,2390,18,1,1,1,2
94494000,94494,364414,2390,18,1,1,1,2
94494100,94494,100364393,2390,18,1,1,1,2
94494200,94494,200364372,2390,18,1,1,1,2
94494300,94494,300364351,2390,18,1,1,1,2
94494400,94494,400364329,2390,18,1,1,1,2
94494500,94495,-499635692,2390,18,1,1,1,2
94494600,94495,-399635713,2390,18,1,1,1,2
94494700,94495,-299635734,2390,18,1,1,1,2
94494800,94495,-199635755,2390,18,1,1,1,2
94494900,94495,-99635776,2390,18,1,1,1,2
94495000,94495,364203,2390,18,1,1,1,2
94495100,94495,100364182,2390,18,1,1,1,2
94495200,94495,200364161,2390,18,1,1,1,2
94495300,94495,300364140,2390,18,1,1,1,2
94495400,94495,400364119,2390,18,1,1,1,2
94495500,94496,-499635902,2390,18,1,1,1,2
94495600,94496,-399635923,2390,18,1,1,1,2
94495700,94496,-299635944,2390,18,1,1,1,2
94495800,94496,-199635965,2390,18,1,1,1,2
94495900,94496,-99635986,2390,18,1,1,1,2
94496000,94496,363993,2390,18,1,1,1,2
94496100,94496,100363972,2390,18,1,1,1,2
94496200,94496,200363951,2390,18,1,1,1,2
94496300,94496,300363930,2390,18,1,1,1,2
94496400,94496,400363909,2390,18,1,1,1,2
94496500,94497,-499636112,2390,18,1,1,1,2
94496600,94497,-399636133,2390,18,1,1,1,2
94496700,94497,-299636154,2390,18,1,1,1,2
94496800,94497,-199636175,2390,18,1,1,1,2
