iTOW,tAcc,nano,year,month,day,hour,min,sec,validTOW,validWKN,validUTC,authStatus,utcStandard
94486900,22,900365923,2025,10,27,2,14,28,1,1,1,0,3
94487000,22,365901,2025,10,27,2,14,29,1,1,1,0,3
94487100,22,100365880,2025,10,27,2,14,29,1,1,1,0,3
94487200,22,200365859,2025,10,27,2,14,29,1,1,1,0,3
94487300,22,300365838,2025,10,27,2,14,29,1,1,1,0,3
94487500,22,500365795,2025,10,27,2,14,29,1,1,1,0,3
94487600,22,600365774,2025,10,27,2,14,29,1,1,1,0,3
94487700,22,700365753,2025,10,27,2,14,29,1,1,1,0,3
94487800,22,800365732,2025,10,27,2,14,29,1,1,1,0,3
94488100,22,100365668,2025,10,27,2,14,30,1,1,1,0,3
94488200,22,200365647,2025,10,27,2,14,30,1,1,1,0,3
94488300,22,300365625,2025,10,27,2,14,30,1,1,1,0,3
94488400,22,400365604,2025,10,27,2,14,30,1,1,1,0,3
94488500,22,500365583,2025,10,27,2,14,30,1,1,1,0,3
94488600,22,600365561,2025,10,27,2,14,30,1,1,1,0,3
94488700,22,700365540,2025,10,27,2,14,30,1,1,1,0,3
94488800,22,800365519,2025,10,27,2,14,30,1,1,1,0,3
94488900,22,900365498,2025,10,27,2,14,30,1,1,1,0,3
94489000,22,365476,2025,10,27,2,14,31,1,1,1,0,3
94489100,22,100365455,2025,10,27,2,14,31,1,1,1,0,3
94489200,22,200365434,2025,10,27,2,14,31,1,1,1,0,3
94489300,22,300365412,2025,10,27,2,14,31,1,1,1,0,3
94489400,22,400365391,2025,10,27,2,14,31,1,1,1,0,3
94489500,22,500365370,2025,10,27,2,14,31,1,1,1,0,3
94489600,22,600365349,2025,10,27,2,14,31,1,1,1,0,3
94489700,22,700365327,2025,10,27,2,14,31,1,1,1,0,3
94489800,22,800365306,2025,10,27,2,14,31,1,1,1,0,3
94489900,22,900365285,2025,10,27,2,14,31,1,1,1,0,3
94490000,22,365263,2025,10,27,2,14,32,1,1,1,0,3
94490100,22,100365242,2025,10,27,2,14,32,1,1,1,0,3
94490200,22,200365221,2025,10,27,2,14,32,1,1,1,0,3
94490300,22,300365199,2025,10,27,2,14,32,1,1,1,0,3
94490400,22,400365178,2025,10,27,2,14,32,1,1,1,0,3
94490500,22,500365157,2025,10,27,2,14,32,1,1,1,0,3
94490600,22,600365135,2025,10,27,2,14,32,1,1,1,0,3
94490700,22,700365114,2025,10,27,2,14,32,1,1,1,0,3
94490800,22,800365093,2025,10,27,2,14,32,1,1,1,0,3
94490900,22,900365071,2025,10,27,2,14,32,1,1,1,0,3
94491000,22,365050,2025,10,27,2,14,33,1,1,1,0,3
94491100,22,100365029,2025,10,27,2,14,33,1,1,1,0,3
94491200,22,200365008,2025,10,27,2,14,33,1,1,1,0,3
94491300,22,300364986,2025,10,27,2,14,33,1,1,1,0,3
94491400,22,400364965,2025,10,27,2,14,33,1,1,1,0,3
94491500,22,500364944,2025,10,27,2,14,33,1,1,1,0,3
94491600,22,600364923,2025,10,27,2,14,33,1,1,1,0,3
94491700,22,700364901,2025,10,27,2,14,33,1,1,1,0,3
94491800,22,800364880,2025,10,27,2,14,33,1,1,1,0,3
94491900,22,900364859,2025,10,27,2,14,33,1,1,1,0,3
94492000,22,364837,2025,10,27,2,14,34,1,1,1,0,3
94492100,22,100364816,2025,10,27,2,14,34,1,1,1,0,3
94492200,22,200364795,2025,10,27,2,14,34,1,1,1,0,3
94492300,22,300364774,2025,10,27,2,14,34,1,1,1,0,3
94492400,22,400364752,2025,10,27,2,14,34,1,1,1,0,3
94492500,22,500364731,2025,10,27,2,14,34,1,1,1,0,3
94492600,22,600364710,2025,10,27,2,14,34,1,1,1,0,3
94492700,22,700364689,2025,10,27,2,14,34,1,1,1,0,3
94492800,22,800364668,2025,10,27,2,14,34,1,1,1,0,3
94492900,22,900364647,2025,10,27,2,14,34,1,1,1,0,3
94493000,22,364625,2025,10,27,2,14,35,1,1,1,0,3
94493100,22,100364604,2025,10,27,2,14,35,1,1,1,0,3
94493200,22,200364583,2025,10,27,2,14,35,1,1,1,0,3
94493300,22,300364562,2025,10,27,2,14,35,1,1,1,0,3
94493400,22,400364540,2025,10,27,2,14,35,1,1,1,0,3
94493500,22,500364519,2025,10,27,2,14,35,1,1,1,0,3
94493600,22,600364497,2025,10,27,2,14,35,1,1,1,0,3
94493700,22,700364476,2025,10,27,2,14,35,1,1,1,0,3
94493800,22,800364455,2025,10,27,2,14,35,1,1,1,0,3
94493900,22,900364434,2025,10,27,2,14,35,1,1,1,0,3
94494000,22,364412,2025,10,27,2,14,36,1,1,1,0,3
94494100,22,100364391,2025,10,27,2,14,36,1,1,1,0,3
94494200,22,200364370,2025,10,27,2,14,36,1,1,1,0,3
94494300,22,300364349,2025,10,27,2,14,36,1,1,1,0,3
94494400,22,400364328,2025,10,27,2,14,36,1,1,1,0,3
94494500,22,500364306,2025,10,27,2,14,36,1,1,1,0,3
94494600,22,600364285,2025,10,27,2,14,36,1,1,1,0,3
94494700,22,700364264,2025,10,27,2,14,36,1,1,1,0,3
