iTOW,velN,velE,velD,speed,gSpeed,heading,sAcc,cAcc
94487000,0,0,0,0,0,0.0,1,57.29578
94487100,0,0,0,0,0,0.0,1,57.29578
94487200,0,0,0,0,0,0.0,1,57.29578
94487300,0,0,0,0,0,0.0,1,57.29578
94487400,0,0,0,0,0,0.0,1,57.29578
94487500,0,0,0,0,0,0.0,1,57.29578
94487600,0,0,0,0,0,0.0,1,57.29578
94487700,0,0,0,0,0,0.0,1,57.29578
94487800,0,0,0,0,0,0.0,1,57.29578
94487900,0,0,0,0,0,0.0,1,57.29578
94488100,0,0,0,0,0,0.0,1,57.29578
94488200,0,0,0,0,0,0.0,1,57.29578
94488300,0,0,0,0,0,0.0,1,57.29578
94488400,0,0,0,0,0,0.0,1,57.29578
94488500,0,0,0,0,0,0.0,1,57.29578
94488600,0,0,0,0,0,0.0,1,57.29578
94488700,0,0,0,0,0,0.0,1,57.29578
94488800,0,0,0,0,0,0.0,1,57.29578
94488900,0,0,0,0,0,0.0,1,57.29578
94489000,0,0,0,0,0,0.0,1,57.29578
94489100,0,0,0,0,0,0.0,1,57.29578
94489200,0,0,0,0,0,0.0,1,57.29578
94489300,0,0,0,0,0,0.0,1,57.29578
94489400,0,0,0,0,0,0.0,1,57.29578
94489500,0,0,0,0,0,0.0,1,57.29578
94489600,0,0,0,0,0,0.0,1,57.29578
94489700,0,0,0,0,0,0.0,1,57.29578
94489800,0,0,0,0,0,0.0,1,57.29578
94489900,0,0,0,0,0,0.0,1,57.29578
94490000,0,0,0,0,0,0.0,1,57.29578
94490100,0,0,0,0,0,0.0,1,57.29578
94490200,0,0,0,0,0,0.0,1,57.29578
94490300,0,0,0,0,0,0.0,1,57.29578
94490400,0,0,0,0,0,0.0,1,57.29578
94490500,0,0,0,0,0,0.0,1,57.29578
94490600,0,0,0,0,0,0.0,1,57.29578
94490700,0,0,0,0,0,0.0,1,57.29578
94490800,0,0,0,0,0,0.0,1,57.29578
94490900,0,0,0,0,0,0.0,1,57.29578
94491000,0,0,0,0,0,0.0,1,57.29578
94491100,0,0,0,0,0,0.0,1,57.29578
94491200,0,0,0,0,0,0.0,1,57.29578
94491300,0,0,0,0,0,0.0,1,57.29578
94491400,0,0,0,0,0,0.0,1,57.29578
94491500,0,0,0,0,0,0.0,1,57.29578
94491600,0,0,0,0,0,0.0,1,57.29578
94491700,0,0,0,0,0,0.0,1,57.29578
94491800,0,0,0,0,0,0.0,1,57.29578
94491900,0,0,0,0,0,0.0,1,57.29578
94492000,0,0,0,0,0,0.0,1,57.29578
94492100,0,0,0,0,0,0.0,1,57.29578
94492200,0,0,0,0,0,0.0,1,57.29578
94492300,0,0,0,0,0,0.0,1,57.29578
94492400,0,0,0,0,0,0.0,1,57.29578
94492500,0,0,0,0,0,0.0,1,57.29578
