version,numEvents,reserved0,timeElapsed_01,detectionType_01,eventType_01,reserved1_01,timeElapsed_02,detectionType_02,eventType_02,reserved1_02,timeElapsed_03,detectionType_03,eventType_03,reserved1_03,timeElapsed_04,detectionType_04,eventType_04,reserved1_04,timeElapsed_05,detectionType_05,eventType_05,reserved1_05,timeElapsed_06,detectionType_06,eventType_06,reserved1_06,timeElapsed_07,detectionType_07,eventType_07,reserved1_07,timeElapsed_08,detectionType_08,eventType_08,reserved1_08,timeElapsed_09,detectionType_09,eventType_09,reserved1_09,timeElapsed_10,detectionType_10,eventType_10,reserved1_10,timeElapsed_11,detectionType_11,eventType_11,reserved1_11,timeElapsed_12,detectionType_12,eventType_12,reserved1_12,timeElapsed_13,detectionType_13,eventType_13,reserved1_13,timeElapsed_14,detectionType_14,eventType_14,reserved1_14,timeElapsed_15,detectionType_15,eventType_15,reserved1_15,timeElapsed_16,detectionType_16,eventType_16,reserved1_16
0,16,7411662848,0,5,1,0,0,4,0,0,18,4,1,0,22,4,0,0,24,5,0,0,24,4,1,0,28,5,1,0,30,4,0,0,31,4,1,0,32,5,0,0,32,4,0,0,33,5,1,0,47,5,0,0,48,4,1,0,50,5,1,0,50,4,0,0
0,16,7477198848,1,5,1,0,1,4,0,0,19,4,1,0,23,4,0,0,25,5,0,0,25,4,1,0,29,5,1,0,31,4,0,0,32,4,1,0,33,5,0,0,33,4,0,0,34,5,1,0,48,5,0,0,49,4,1,0,51,5,1,0,51,4,0,0
0,16,7542734848,2,5,1,0,2,4,0,0,20,4,1,0,24,4,0,0,26,5,0,0,26,4,1,0,30,5,1,0,32,4,0,0,33,4,1,0,34,5,0,0,34,4,0,0,35,5,1,0,49,5,0,0,50,4,1,0,52,5,1,0,52,4,0,0
0,16,7608270848,3,5,1,0,3,4,0,0,21,4,1,0,25,4,0,0,27,5,0,0,27,4,1,0,31,5,1,0,33,4,0,0,34,4,1,0,35,5,0,0,35,4,0,0,36,5,1,0,50,5,0,0,51,4,1,0,53,5,1,0,53,4,0,0
0,16,7673806848,0,5,0,0,4,5,1,0,4,4,0,0,22,4,1,0,26,4,0,0,28,5,0,0,28,4,1,0,32,5,1,0,34,4,0,0,35,4,1,0,36,5,0,0,36,4,0,0,37,5,1,0,51,5,0,0,52,4,1,0,54,5,1,0
0,16,7739342848,0,5,1,0,1,5,0,0,5,5,1,0,5,4,0,0,23,4,1,0,27,4,0,0,29,5,0,0,29,4,1,0,33,5,1,0,35,4,0,0,36,4,1,0,37,5,0,0,37,4,0,0,38,5,1,0,52,5,0,0,53,4,1,0
0,16,7804878848,0,5,0,0,1,5,1,0,2,5,0,0,6,5,1,0,6,4,0,0,24,4,1,0,28,4,0,0,30,5,0,0,30,4,1,0,34,5,1,0,36,4,0,0,37,4,1,0,38,5,0,0,38,4,0,0,39,5,1,0,53,5,0,0
0,16,7870414848,0,5,1,0,1,5,0,0,2,5,1,0,3,5,0,0,7,5,1,0,7,4,0,0,25,4,1,0,29,4,0,0,31,5,0,0,31,4,1,0,35,5,1,0,37,4,0,0,38,4,1,0,39,5,0,0,39,4,0,0,40,5,1,0
0,16,7935950848,0,5,0,0,1,5,1,0,2,5,0,0,3,5,1,0,4,5,0,0,8,5,1,0,8,4,0,0,26,4,1,0,30,4,0,0,32,5,0,0,32,4,1,0,36,5,1,0,38,4,0,0,39,4,1,0,40,5,0,0,40,4,0,0
0,16,8001486848,1,5,0,0,2,5,1,0,3,5,0,0,4,5,1,0,5,5,0,0,9,5,1,0,9,4,0,0,27,4,1,0,31,4,0,0,33,5,0,0,33,4,1,0,37,5,1,0,39,4,0,0,40,4,1,0,41,5,0,0,41,4,0,0
0,16,8067022848,2,5,0,0,3,5,1,0,4,5,0,0,5,5,1,0,6,5,0,0,10,5,1,0,10,4,0,0,28,4,1,0,32,4,0,0,34,5,0,0,34,4,1,0,38,5,1,0,40,4,0,0,41,4,1,0,42,5,0,0,42,4,0,0
0,16,8132558848,3,5,0,0,4,5,1,0,5,5,0,0,6,5,1,0,7,5,0,0,11,5,1,0,11,4,0,0,29,4,1,0,33,4,0,0,35,5,0,0,35,4,1,0,39,5,1,0,41,4,0,0,42,4,1,0,43,5,0,0,43,4,0,0
0,16,8198094848,4,5,0,0,5,5,1,0,6,5,0,0,7,5,1,0,8,5,0,0,12,5,1,0,12,4,0,0,30,4,1,0,34,4,0,0,36,5,0,0,36,4,1,0,40,5,1,0,42,4,0,0,43,4,1,0,44,5,0,0,44,4,0,0
0,16,8263630848,5,5,0,0,6,5,1,0,7,5,0,0,8,5,1,0,9,5,0,0,13,5,1,0,13,4,0,0,31,4,1,0,35,4,0,0,37,5,0,0,37,4,1,0,41,5,1,0,43,4,0,0,44,4,1,0,45,5,0,0,45,4,0,0
0,16,8329166848,6,5,0,0,7,5,1,0,8,5,0,0,9,5,1,0,10,5,0,0,14,5,1,0,14,4,0,0,32,4,1,0,36,4,0,0,38,5,0,0,38,4,1,0,42,5,1,0,44,4,0,0,45,4,1,0,46,5,0,0,46,4,0,0
0,16,8394702848,0,5,1,0,7,5,0,0,8,5,1,0,9,5,0,0,10,5,1,0,11,5,0,0,15,5,1,0,15,4,0,0,33,4,1,0,37,4,0,0,39,5,0,0,39,4,1,0,43,5,1,0,45,4,0,0,46,4,1,0,47,5,0,0
0,16,8460238848,1,5,1,0,8,5,0,0,9,5,1,0,10,5,0,0,11,5,1,0,12,5,0,0,16,5,1,0,16,4,0,0,34,4,1,0,38,4,0,0,40,5,0,0,40,4,1,0,44,5,1,0,46,4,0,0,47,4,1,0,48,5,0,0
0,16,8525774848,2,5,1,0,9,5,0,0,10,5,1,0,11,5,0,0,12,5,1,0,13,5,0,0,17,5,1,0,17,4,0,0,35,4,1,0,39,4,0,0,41,5,0,0,41,4,1,0,45,5,1,0,47,4,0,0,48,4,1,0,49,5,0,0
