ofsI,magI,ofsQ,magQ,cfgSource,reserved0,lowLevCfg,reserved1,postStatus,reserved2
12,173,5,167,0,16766068,4294967295,18446744073709551615,0,0
13,173,4,166,0,12670502,4294967295,18446744073709551615,0,0
11,173,9,165,0,10806362,4294967295,18446744073709551615,0,0
11,171,7,165,0,2551928,4294967295,18446744073709551615,0,0
9,176,7,169,0,9084007,4294967295,18446744073709551615,0,0
12,173,4,165,0,6153835,4294967295,18446744073709551615,0,0
12,172,4,168,0,15260937,4294967295,18446744073709551615,0,0
11,173,5,166,0,15070787,4294967295,18446744073709551615,0,0
13,173,8,165,0,3562907,4294967295,18446744073709551615,0,0
13,173,6,166,0,9328345,4294967295,18446744073709551615,0,0
13,172,6,165,0,13920120,4294967295,18446744073709551615,0,0
13,172,5,166,0,7598044,4294967295,18446744073709551615,0,0
13,175,4,168,0,358181,4294967295,18446744073709551615,0,0
13,173,5,162,0,2786067,4294967295,18446744073709551615,0,0
12,172,7,165,0,666875,4294967295,18446744073709551615,0,0
12,170,3,165,0,1380270,4294967295,18446744073709551615,0,0
20,193,1,202,0,15413351,4294967295,18446744073709551615,0,0
15,143,21,137,0,13015861,4294967295,18446744073709551615,0,0
20,146,19,141,0,13567464,4294967295,18446744073709551615,0,0
12,170,8,164,0,7805970,4294967295,18446744073709551615,0,0
9,172,5,168,0,6853335,4294967295,18446744073709551615,0,0
12,172,2,166,0,8254758,4294967295,18446744073709551615,0,0
10,171,5,165,0,9442139,4294967295,18446744073709551615,0,0
11,171,5,164,0,3403764,4294967295,18446744073709551615,0,0
12,170,5,166,0,12341145,4294967295,18446744073709551615,0,0
15,170,9,171,0,701822,4294967295,18446744073709551615,0,0
9,190,9,176,0,289729,4294967295,18446744073709551615,0,0
12,170,4,169,0,10521625,4294967295,18446744073709551615,0,0
13,174,5,161,0,11834542,4294967295,18446744073709551615,0,0
14,170,5,164,0,6165623,4294967295,18446744073709551615,0,0
15,174,3,177,0,1693690,4294967295,18446744073709551615,0,0
11,171,5,164,0,10964093,4294967295,18446744073709551615,0,0
12,170,5,161,0,11272078,4294967295,18446744073709551615,0,0
12,169,11,162,0,12566786,4294967295,18446744073709551615,0,0
12,173,6,160,0,983486,4294967295,18446744073709551615,0,0
12,166,8,163,0,11037664,4294967295,18446744073709551615,0,0
12,171,11,164,0,2984152,4294967295,18446744073709551615,0,0
13,170,5,163,0,11072742,4294967295,18446744073709551615,0,0
13,168,2,163,0,3341768,4294967295,18446744073709551615,0,0
14,169,9,168,0,16183482,4294967295,18446744073709551615,0,0
12,170,8,162,0,15090459,4294967295,18446744073709551615,0,0
13,169,5,165,0,14521984,4294967295,18446744073709551615,0,0
13,167,3,161,0,3819663,4294967295,18446744073709551615,0,0
12,170,9,164,0,8109330,4294967295,18446744073709551615,0,0
13,170,2,164,0,7346766,4294967295,18446744073709551615,0,0
11,170,3,166,0,13465042,4294967295,18446744073709551615,0,0
11,170,7,165,0,11187757,4294967295,18446744073709551615,0,0
12,170,8,164,0,13066061,4294967295,18446744073709551615,0,0
12,170,10,165,0,10099320,4294967295,18446744073709551615,0,0
9,169,6,163,0,9307161,4294967295,18446744073709551615,0,0
14,170,4,165,0,13266958,4294967295,18446744073709551615,0,0
11,170,3,166,0,14759997,4294967295,18446744073709551615,0,0
10,174,6,170,0,12673222,4294967295,18446744073709551615,0,0
13,172,4,164,0,14734186,4294967295,18446744073709551615,0,0
13,171,0,167,0,3107029,4294967295,18446744073709551615,0,0
10,172,5,168,0,11094657,4294967295,18446744073709551615,0,0
12,173,5,167,0,4960083,4294967295,18446744073709551615,0,0
10,172,9,169,0,4204974,4294967295,18446744073709551615,0,0
16,147,8,136,0,3304076,4294967295,18446744073709551615,0,0
15,145,13,140,0,5671024,4294967295,18446744073709551615,0,0
13,147,15,137,0,2872270,4294967295,18446744073709551615,0,0
23,150,17,140,0,15159796,4294967295,18446744073709551615,0,0
18,144,18,139,0,2692837,4294967295,18446744073709551615,0,0
20,145,10,138,0,12734266,4294967295,18446744073709551615,0,0
11,142,17,143,0,9910510,4294967295,18446744073709551615,0,0
17,145,11,139,0,1784495,4294967295,18446744073709551615,0,0
20,148,15,141,0,7283079,4294967295,18446744073709551615,0,0
19,154,10,148,0,1478417,4294967295,18446744073709551615,0,0
16,148,12,140,0,16431312,4294967295,18446744073709551615,0,0
17,147,13,144,0,5541636,4294967295,18446744073709551615,0,0
22,147,17,142,0,12243616,4294967295,18446744073709551615,0,0
22,146,17,146,0,12523414,4294967295,18446744073709551615,0,0
21,145,18,142,0,7371107,4294967295,18446744073709551615,0,0
6,144,15,138,0,13383271,4294967295,18446744073709551615,0,0
22,149,13,140,0,7467926,4294967295,18446744073709551615,0,0
15,145,14,139,0,475852,4294967295,18446744073709551615,0,0
17,145,14,139,0,14995418,4294967295,18446744073709551615,0,0
13,147,20,141,0,4567458,4294967295,18446744073709551615,0,0
22,145,17,141,0,2724582,4294967295,18446744073709551615,0,0
