iTOW,lon,lat,height,hMSL,hAcc,vAcc
569587000,114.1800344,22.3056067,21944,23558,1135,1947
569588000,114.1800343,22.3056068,21955,23568,1076,1853
569589000,114.1800342,22.3056073,21994,23607,1020,1771
569590000,114.1800342,22.3056078,22050,23663,973,1699
569591000,114.1800343,22.3056083,22108,23721,931,1636
569592000,114.1800372,22.3056092,22172,23785,893,1580
569593000,114.1800448,22.3056123,22377,23990,864,1533
569594000,114.1800554,22.3056153,22617,24230,841,1493
569595000,114.1800656,22.3056183,22700,24313,819,1453
569596000,114.1800763,22.3056209,22825,24438,798,1418
569597000,114.1800875,22.3056243,22859,24472,778,1385
569598000,114.1800983,22.3056273,22942,24555,762,1359
569599000,114.1801093,22.3056304,23015,24628,748,1337
569600000,114.1801206,22.3056345,23073,24686,734,1314
569601000,114.1801318,22.3056383,23164,24776,717,1287
569602000,114.1801423,22.3056421,23235,24848,702,1265
569603000,114.1801521,22.3056456,23379,24992,689,1244
569604000,114.1801618,22.3056499,23431,25044,679,1231
569605000,114.1801717,22.3056552,23551,25163,669,1218
569606000,114.1801814,22.3056599,23694,25307,658,1202
569607000,114.1801908,22.3056659,23760,25373,647,1188
569608000,114.1801995,22.3056723,23805,25418,636,1174
569609000,114.1802072,22.3056794,23788,25400,624,1159
569610000,114.1802124,22.3056878,23815,25428,613,1147
569611000,114.1802154,22.3056969,23882,25495,602,1136
569612000,114.180218,22.3057062,23879,25492,592,1127
569613000,114.1802204,22.3057159,23842,25455,583,1119
569614000,114.1802225,22.3057262,23781,25394,577,1111
569615000,114.1802244,22.3057367,23740,25353,570,1102
569616000,114.1802255,22.3057471,23611,25224,563,1093
569617000,114.180227,22.3057577,23435,25047,559,1088
569618000,114.1802289,22.3057674,23287,24900,555,1082
569619000,114.1802308,22.305777,23241,24854,550,1077
569620000,114.180232,22.3057875,23268,24880,547,1072
569621000,114.1802337,22.3057981,23288,24901,545,1075
569622000,114.1802353,22.305809,23222,24835,542,1075
569623000,114.1802382,22.3058199,23212,24825,540,1078
569624000,114.1802412,22.3058306,23171,24783,540,1081
569625000,114.1802441,22.3058411,22946,24558,539,1086
569626000,114.1802426,22.3058501,22829,24441,540,1090
569627000,114.1802346,22.3058537,22858,24471,543,1095
569628000,114.1802244,22.3058516,22946,24559,545,1096
569629000,114.1802141,22.305846,23036,24649,545,1094
569630000,114.1802058,22.3058385,23060,24673,542,1089
569631000,114.1801992,22.3058298,23092,24704,538,1082
569632000,114.1801919,22.3058208,23236,24849,535,1078
569633000,114.1801826,22.3058131,23434,25047,532,1074
569634000,114.180172,22.305807,23523,25136,530,1069
569635000,114.1801638,22.3058007,23558,25171,527,1063
569636000,114.1801547,22.3057941,23624,25237,525,1054
569637000,114.1801433,22.3057875,23656,25269,523,1047
569638000,114.1801319,22.3057814,23688,25301,520,1038
569639000,114.1801216,22.3057758,23736,25349,519,1034
569640000,114.1801115,22.3057698,23836,25450,520,1032
569641000,114.1801016,22.3057631,24002,25615,524,1031
569642000,114.1800925,22.3057553,24167,25780,528,1026
569643000,114.180083,22.3057475,24334,25947,531,1025
569644000,114.1800729,22.3057398,24437,26051,537,1028
569645000,114.1800644,22.3057312,24494,26107,546,1038
569646000,114.1800564,22.3057227,24549,26162,553,1045
569647000,114.1800488,22.3057151,24573,26186,560,1052
569648000,114.1800394,22.3057091,24500,26114,572,1061
569649000,114.1800301,22.3057025,24533,26147,582,1068
569650000,114.180022,22.3056946,24686,26299,589,1075
569651000,114.180016,22.3056862,24723,26337,595,1083
569652000,114.1800118,22.3056756,24707,26320,598,1092
569653000,114.1800103,22.305664,24684,26297,599,1097
569654000,114.180011,22.3056525,24604,26217,596,1096
569655000,114.1800112,22.3056406,24550,26163,592,1096
569656000,114.1800103,22.3056293,24542,26155,587,1093
569657000,114.1800101,22.3056213,24426,26040,582,1085
569658000,114.1800097,22.3056187,24379,25992,579,1081
569659000,114.1800099,22.3056184,24388,26001,578,1077
569660000,114.18001,22.3056185,24449,26062,578,1074
569661000,114.1800099,22.3056185,24513,26126,578,1072
569662000,114.1800097,22.3056186,24554,26168,577,1069
569663000,114.1800095,22.3056187,24596,26209,577,1067
569664000,114.1800094,22.3056187,24656,26270,576,1065
569665000,114.1800093,22.3056186,24754,26368,574,1060
