iTOW,gpsFix,gpsFixOk,diffSoln,wknSet,towSet,diffCorr,carrSolnValid,mapMatching,psmState,spoofDetState,carrSoln,ttff,msss
108565000,3,1,0,1,1,0,1,0,0,1,0,497,66599
108565200,3,1,0,1,1,0,1,0,0,1,0,497,66799
108565300,3,1,0,1,1,0,1,0,0,1,0,497,66899
108565500,3,1,0,1,1,0,1,0,0,1,0,497,67099
108565700,3,1,0,1,1,0,1,0,0,1,0,497,67299
108565900,3,1,0,1,1,0,1,0,0,1,0,497,67499
108566000,3,1,0,1,1,0,1,0,0,1,0,497,67599
108566200,3,1,0,1,1,0,1,0,0,1,0,497,67799
108566400,3,1,0,1,1,0,1,0,0,1,0,497,67999
108566600,3,1,0,1,1,0,1,0,0,1,0,497,68199
108566800,3,1,0,1,1,0,1,0,0,1,0,497,68399
108566900,3,1,0,1,1,0,1,0,0,1,0,497,68499
108567100,3,1,0,1,1,0,1,0,0,1,0,497,68699
108567300,3,1,0,1,1,0,1,0,0,1,0,497,68899
108567500,3,1,0,1,1,0,1,0,0,1,0,497,69099
108567700,3,1,0,1,1,0,1,0,0,1,0,497,69299
108567900,3,1,0,1,1,0,1,0,0,1,0,497,69499
108568000,3,1,0,1,1,0,1,0,0,1,0,497,69599
108568200,3,1,0,1,1,0,1,0,0,1,0,497,69799
108568300,3,1,0,1,1,0,1,0,0,1,0,497,69899
108568400,3,1,0,1,1,0,1,0,0,1,0,497,69999
108568500,3,1,0,1,1,0,1,0,0,1,0,497,70099
108568600,3,1,0,1,1,0,1,0,0,1,0,497,70199
108568700,3,1,0,1,1,0,1,0,0,1,0,497,70299
108568800,3,1,0,1,1,0,1,0,0,1,0,497,70399
108568900,3,1,0,1,1,0,1,0,0,1,0,497,70499
108569100,3,1,0,1,1,0,1,0,0,1,0,497,70699
108569300,3,1,0,1,1,0,1,0,0,1,0,497,70899
108569500,3,1,0,1,1,0,1,0,0,1,0,497,71099
108569600,3,1,0,1,1,0,1,0,0,1,0,497,71199
108569800,3,1,0,1,1,0,1,0,0,1,0,497,71399
108570000,3,1,0,1,1,0,1,0,0,1,0,497,71599
108570200,3,1,0,1,1,0,1,0,0,1,0,497,71799
108570300,3,1,0,1,1,0,1,0,0,1,0,497,71899
108570400,3,1,0,1,1,0,1,0,0,1,0,497,71999
108570500,3,1,0,1,1,0,1,0,0,1,0,497,72099
108570700,3,1,0,1,1,0,1,0,0,1,0,497,72299
108570900,3,1,0,1,1,0,1,0,0,1,0,497,72499
108571100,3,1,0,1,1,0,1,0,0,1,0,497,72699
108571300,3,1,0,1,1,0,1,0,0,1,0,497,72899
108571400,3,1,0,1,1,0,1,0,0,1,0,497,72999
108571500,3,1,0,1,1,0,1,0,0,1,0,497,73099
108571600,3,1,0,1,1,0,1,0,0,1,0,497,73199
108571800,3,1,0,1,1,0,1,0,0,1,0,497,73399
108571900,3,1,0,1,1,0,1,0,0,1,0,497,73499
108572100,3,1,0,1,1,0,1,0,0,1,0,497,73699
108572200,3,1,0,1,1,0,1,0,0,1,0,497,73799
108572300,3,1,0,1,1,0,1,0,0,1,0,497,73899
108572500,3,1,0,1,1,0,1,0,0,1,0,497,74099
108572600,3,1,0,1,1,0,1,0,0,1,0,497,74199
108572700,3,1,0,1,1,0,1,0,0,1,0,497,74299
108572900,3,1,0,1,1,0,1,0,0,1,0,497,74499
108573000,3,1,0,1,1,0,1,0,0,1,0,497,74599
108573200,3,1,0,1,1,0,1,0,0,1,0,497,74799
108573300,3,1,0,1,1,0,1,0,0,1,0,497,74899
108573400,3,1,0,1,1,0,1,0,0,1,0,497,74999
108573500,3,1,0,1,1,0,1,0,0,1,0,497,75099
108573600,3,1,0,1,1,0,1,0,0,1,0,497,75199
108573700,3,1,0,1,1,0,1,0,0,1,0,497,75299
108573800,3,1,0,1,1,0,1,0,0,1,0,497,75399
108573900,3,1,0,1,1,0,1,0,0,1,0,497,75499
108574000,3,1,0,1,1,0,1,0,0,1,0,497,75599
108574200,3,1,0,1,1,0,1,0,0,1,0,497,75799
108574300,3,1,0,1,1,0,1,0,0,1,0,497,75899
108574400,3,1,0,1,1,0,1,0,0,1,0,497,75999
108574500,3,1,0,1,1,0,1,0,0,1,0,497,76099
108574600,3,1,0,1,1,0,1,0,0,1,0,497,76199
108574700,3,1,0,1,1,0,1,0,0,1,0,497,76299
108574800,3,1,0,1,1,0,1,0,0,1,0,497,76399
108574900,3,1,0,1,1,0,1,0,0,1,0,497,76499
108575000,3,1,0,1,1,0,1,0,0,1,0,497,76599
108575200,3,1,0,1,1,0,1,0,0,1,0,497,76799
108575300,3,1,0,1,1,0,1,0,0,1,0,497,76899
108575400,3,1,0,1,1,0,1,0,0,1,0,497,76999
108575500,3,1,0,1,1,0,1,0,0,1,0,497,77099
108575600,3,1,0,1,1,0,1,0,0,1,0,497,77199
108575700,3,1,0,1,1,0,1,0,0,1,0,497,77299
108575800,3,1,0,1,1,0,1,0,0,1,0,497,77399
108575900,3,1,0,1,1,0,1,0,0,1,0,497,77499
108576000,3,1,0,1,1,0,1,0,0,1,0,497,77599
108576200,3,1,0,1,1,0,1,0,0,1,0,497,77799
108576400,3,1,0,1,1,0,1,0,0,1,0,497,77999
108576500,3,1,0,1,1,0,1,0,0,1,0,497,78099
108576700,3,1,0,1,1,0,1,0,0,1,0,497,78299
108576800,3,1,0,1,1,0,1,0,0,1,0,497,78399
108577000,3,1,0,1,1,0,1,0,0,1,0,497,78599
108577200,3,1,0,1,1,0,1,0,0,1,0,497,78799
108577300,3,1,0,1,1,0,1,0,0,1,0,497,78899
108577500,3,1,0,1,1,0,1,0,0,1,0,497,79099
108577600,3,1,0,1,1,0,1,0,0,1,0,497,79199
108577700,3,1,0,1,1,0,1,0,0,1,0,497,79299
108577900,3,1,0,1,1,0,1,0,0,1,0,497,79499
108578100,3,1,0,1,1,0,1,0,0,1,0,497,79699
108578300,3,1,0,1,1,0,1,0,0,1,0,497,79899
108578500,3,1,0,1,1,0,1,0,0,1,0,497,80099
108578600,3,1,0,1,1,0,1,0,0,1,0,497,80199
108578800,3,1,0,1,1,0,1,0,0,1,0,497,80399
108579000,3,1,0,1,1,0,1,0,0,1,0,497,80599
108579200,3,1,0,1,1,0,1,0,0,1,0,497,80799
108579400,3,1,0,1,1,0,1,0,0,1,0,497,80999
108579500,3,1,0,1,1,0,1,0,0,1,0,497,81099
108579600,3,1,0,1,1,0,1,0,0,1,0,497,81199
108579700,3,1,0,1,1,0,1,0,0,1,0,497,81299
108579800,3,1,0,1,1,0,1,0,0,1,0,497,81399
108579900,3,1,0,1,1,0,1,0,0,1,0,497,81499
108580000,3,1,0,1,1,0,1,0,0,1,0,497,81599
108580200,3,1,0,1,1,0,1,0,0,1,0,497,81799
108580300,3,1,0,1,1,0,1,0,0,1,0,497,81899
108580500,3,1,0,1,1,0,1,0,0,1,0,497,82099
108580700,3,1,0,1,1,0,1,0,0,1,0,497,82299
108580800,3,1,0,1,1,0,1,0,0,1,0,497,82399
108581000,3,1,0,1,1,0,1,0,0,1,0,497,82599
108581200,3,1,0,1,1,0,1,0,0,1,0,497,82799
108581300,3,1,0,1,1,0,1,0,0,1,0,497,82899
108581500,3,1,0,1,1,0,1,0,0,1,0,497,83099
108581700,3,1,0,1,1,0,1,0,0,1,0,497,83299
108581800,3,1,0,1,1,0,1,0,0,1,0,497,83399
108582000,3,1,0,1,1,0,1,0,0,1,0,497,83599
108582200,3,1,0,1,1,0,1,0,0,1,0,497,83799
108582400,3,1,0,1,1,0,1,0,0,1,0,497,83999
108582600,3,1,0,1,1,0,1,0,0,1,0,497,84199
108582700,3,1,0,1,1,0,1,0,0,1,0,497,84299
108582800,3,1,0,1,1,0,1,0,0,1,0,497,84399
108582900,3,1,0,1,1,0,1,0,0,1,0,497,84499
108583000,3,1,0,1,1,0,1,0,0,1,0,497,84599
108583200,3,1,0,1,1,0,1,0,0,1,0,497,84799
108583400,3,1,0,1,1,0,1,0,0,1,0,497,84999
108583600,3,1,0,1,1,0,1,0,0,1,0,497,85199
108583800,3,1,0,1,1,0,1,0,0,1,0,497,85399
108583900,3,1,0,1,1,0,1,0,0,1,0,497,85499
108584100,3,1,0,1,1,0,1,0,0,1,0,497,85699
108584300,3,1,0,1,1,0,1,0,0,1,0,497,85899
108584500,3,1,0,1,1,0,1,0,0,1,0,497,86099
108584700,3,1,0,1,1,0,1,0,0,1,0,497,86299
108584800,3,1,0,1,1,0,1,0,0,1,0,497,86399
108584900,3,1,0,1,1,0,1,0,0,1,0,497,86499
108585100,3,1,0,1,1,0,1,0,0,1,0,497,86699
108585300,3,1,0,1,1,0,1,0,0,1,0,497,86899
108585500,3,1,0,1,1,0,1,0,0,1,0,497,87099
108585700,3,1,0,1,1,0,1,0,0,1,0,497,87299
108585900,3,1,0,1,1,0,1,0,0,1,0,497,87499
108586000,3,1,0,1,1,0,1,0,0,1,0,497,87599
108586200,3,1,0,1,1,0,1,0,0,1,0,497,87799
108586300,3,1,0,1,1,0,1,0,0,1,0,497,87899
108586500,3,1,0,1,1,0,1,0,0,1,0,497,88099
108586600,3,1,0,1,1,0,1,0,0,1,0,497,88199
108586700,3,1,0,1,1,0,1,0,0,1,0,497,88299
108586800,3,1,0,1,1,0,1,0,0,1,0,497,88399
108586900,3,1,0,1,1,0,1,0,0,1,0,497,88499
108587000,3,1,0,1,1,0,1,0,0,1,0,497,88599
108587200,3,1,0,1,1,0,1,0,0,1,0,497,88799
108587300,3,1,0,1,1,0,1,0,0,1,0,497,88899
108587400,3,1,0,1,1,0,1,0,0,1,0,497,88999
108587500,3,1,0,1,1,0,1,0,0,1,0,497,89099
108587600,3,1,0,1,1,0,1,0,0,1,0,497,89199
108587800,3,1,0,1,1,0,1,0,0,1,0,497,89399
108587900,3,1,0,1,1,0,1,0,0,1,0,497,89499
108588000,3,1,0,1,1,0,1,0,0,1,0,497,89599
108588200,3,1,0,1,1,0,1,0,0,1,0,497,89799
108588400,3,1,0,1,1,0,1,0,0,1,0,497,89999
108588500,3,1,0,1,1,0,1,0,0,1,0,497,90099
108588700,3,1,0,1,1,0,1,0,0,1,0,497,90299
108588800,3,1,0,1,1,0,1,0,0,1,0,497,90399
108589000,3,1,0,1,1,0,1,0,0,1,0,497,90599
108589200,3,1,0,1,1,0,1,0,0,1,0,497,90799
108589300,3,1,0,1,1,0,1,0,0,1,0,497,90899
108589400,3,1,0,1,1,0,1,0,0,1,0,497,90999
108589500,3,1,0,1,1,0,1,0,0,1,0,497,91099
108589600,3,1,0,1,1,0,1,0,0,1,0,497,91199
108589700,3,1,0,1,1,0,1,0,0,1,0,497,91299
