iTOW,SOW,fSOW,week,leapS,sowValid,weekValid,leapSValid,tAcc
569587000,569573,282555,1035,4,1,1,1,16
569588000,569574,282422,1035,4,1,1,1,11
569589000,569575,282288,1035,4,1,1,1,11
569590000,569576,282154,1035,4,1,1,1,9
569591000,569577,282021,1035,4,1,1,1,9
569592000,569578,281888,1035,4,1,1,1,7
569593000,569579,281754,1035,4,1,1,1,7
569594000,569580,281621,1035,4,1,1,1,7
569595000,569581,281489,1035,4,1,1,1,7
569596000,569582,281355,1035,4,1,1,1,6
569597000,569583,281223,1035,4,1,1,1,6
569598000,569584,281090,1035,4,1,1,1,6
569599000,569585,280957,1035,4,1,1,1,6
569600000,569586,280824,1035,4,1,1,1,5
569601000,569587,280691,1035,4,1,1,1,5
569602000,569588,280559,1035,4,1,1,1,5
569603000,569589,280425,1035,4,1,1,1,5
569604000,569590,280292,1035,4,1,1,1,5
569605000,569591,280160,1035,4,1,1,1,5
569606000,569592,280029,1035,4,1,1,1,5
569607000,569593,279897,1035,4,1,1,1,5
569608000,569594,279765,1035,4,1,1,1,4
569609000,569595,279633,1035,4,1,1,1,4
569610000,569596,279501,1035,4,1,1,1,4
569611000,569597,279369,1035,4,1,1,1,4
569612000,569598,279237,1035,4,1,1,1,4
569613000,569599,279106,1035,4,1,1,1,4
569614000,569600,278974,1035,4,1,1,1,4
569615000,569601,278841,1035,4,1,1,1,4
569616000,569602,278710,1035,4,1,1,1,4
569617000,569603,278578,1035,4,1,1,1,4
569618000,569604,278447,1035,4,1,1,1,4
569619000,569605,278316,1035,4,1,1,1,4
569620000,569606,278185,1035,4,1,1,1,4
569621000,569607,278054,1035,4,1,1,1,4
569622000,569608,277924,1035,4,1,1,1,4
569623000,569609,277794,1035,4,1,1,1,4
569624000,569610,277661,1035,4,1,1,1,4
569625000,569611,277530,1035,4,1,1,1,4
569626000,569612,277401,1035,4,1,1,1,4
569627000,569613,277272,1035,4,1,1,1,4
569628000,569614,277143,1035,4,1,1,1,4
569629000,569615,277014,1035,4,1,1,1,4
569630000,569616,276885,1035,4,1,1,1,4
569631000,569617,276757,1035,4,1,1,1,4
569632000,569618,276628,1035,4,1,1,1,4
569633000,569619,276499,1035,4,1,1,1,4
569634000,569620,276370,1035,4,1,1,1,4
569635000,569621,276241,1035,4,1,1,1,3
569636000,569622,276112,1035,4,1,1,1,3
569637000,569623,275983,1035,4,1,1,1,3
569638000,569624,275854,1035,4,1,1,1,3
569639000,569625,275725,1035,4,1,1,1,3
569640000,569626,275596,1035,4,1,1,1,3
569641000,569627,275467,1035,4,1,1,1,3
569642000,569628,275339,1035,4,1,1,1,3
569643000,569629,275209,1035,4,1,1,1,3
569644000,569630,275081,1035,4,1,1,1,3
569645000,569631,274952,1035,4,1,1,1,3
569646000,569632,274824,1035,4,1,1,1,3
569647000,569633,274696,1035,4,1,1,1,3
569648000,569634,274568,1035,4,1,1,1,3
569649000,569635,274440,1035,4,1,1,1,3
569650000,569636,274311,1035,4,1,1,1,3
569651000,569637,274183,1035,4,1,1,1,3
569652000,569638,274056,1035,4,1,1,1,3
569653000,569639,273928,1035,4,1,1,1,3
569654000,569640,273800,1035,4,1,1,1,3
569655000,569641,273673,1035,4,1,1,1,3
569656000,569642,273544,1035,4,1,1,1,3
569657000,569643,273417,1035,4,1,1,1,3
569658000,569644,273291,1035,4,1,1,1,3
569659000,569645,273164,1035,4,1,1,1,3
569660000,569646,273038,1035,4,1,1,1,3
569661000,569647,272911,1035,4,1,1,1,3
569662000,569648,272784,1035,4,1,1,1,3
569663000,569649,272657,1035,4,1,1,1,3
569664000,569650,272530,1035,4,1,1,1,3
569665000,569651,272403,1035,4,1,1,1,3
