iTOW,galTow,fGalTow,galWno,leapS,galTowValid,galWnoValid,leapSValid,tAcc
569587000,569587,282569,1367,18,1,1,1,20
569588000,569588,282436,1367,18,1,1,1,15
569589000,569589,282302,1367,18,1,1,1,15
569590000,569590,282168,1367,18,1,1,1,13
569591000,569591,282034,1367,18,1,1,1,13
569592000,569592,281901,1367,18,1,1,1,11
569593000,569593,281768,1367,18,1,1,1,11
569594000,569594,281635,1367,18,1,1,1,9
569595000,569595,281502,1367,18,1,1,1,9
569596000,569596,281369,1367,18,1,1,1,8
569597000,569597,281236,1367,18,1,1,1,8
569598000,569598,281103,1367,18,1,1,1,8
569599000,569599,280970,1367,18,1,1,1,8
569600000,569600,280837,1367,18,1,1,1,7
569601000,569601,280704,1367,18,1,1,1,7
569602000,569602,280571,1367,18,1,1,1,7
569603000,569603,280438,1367,18,1,1,1,7
569604000,569604,280304,1367,18,1,1,1,6
569605000,569605,280172,1367,18,1,1,1,6
569606000,569606,280040,1367,18,1,1,1,6
569607000,569607,279909,1367,18,1,1,1,6
569608000,569608,279777,1367,18,1,1,1,6
569609000,569609,279644,1367,18,1,1,1,5
569610000,569610,279512,1367,18,1,1,1,5
569611000,569611,279380,1367,18,1,1,1,5
569612000,569612,279248,1367,18,1,1,1,5
569613000,569613,279116,1367,18,1,1,1,5
569614000,569614,278984,1367,18,1,1,1,5
569615000,569615,278852,1367,18,1,1,1,5
569616000,569616,278720,1367,18,1,1,1,4
569617000,569617,278588,1367,18,1,1,1,4
569618000,569618,278457,1367,18,1,1,1,4
569619000,569619,278326,1367,18,1,1,1,4
569620000,569620,278195,1367,18,1,1,1,4
569621000,569621,278064,1367,18,1,1,1,4
569622000,569622,277934,1367,18,1,1,1,4
569623000,569623,277804,1367,18,1,1,1,4
569624000,569624,277671,1367,18,1,1,1,4
569625000,569625,277540,1367,18,1,1,1,4
569626000,569626,277411,1367,18,1,1,1,4
569627000,569627,277282,1367,18,1,1,1,4
569628000,569628,277153,1367,18,1,1,1,4
569629000,569629,277024,1367,18,1,1,1,4
569630000,569630,276895,1367,18,1,1,1,4
569631000,569631,276767,1367,18,1,1,1,4
569632000,569632,276638,1367,18,1,1,1,4
569633000,569633,276509,1367,18,1,1,1,4
569634000,569634,276380,1367,18,1,1,1,4
569635000,569635,276251,1367,18,1,1,1,4
569636000,569636,276122,1367,18,1,1,1,4
569637000,569637,275992,1367,18,1,1,1,4
569638000,569638,275864,1367,18,1,1,1,4
569639000,569639,275735,1367,18,1,1,1,4
569640000,569640,275606,1367,18,1,1,1,4
569641000,569641,275477,1367,18,1,1,1,4
569642000,569642,275348,1367,18,1,1,1,4
569643000,569643,275219,1367,18,1,1,1,4
569644000,569644,275090,1367,18,1,1,1,4
569645000,569645,274961,1367,18,1,1,1,4
569646000,569646,274833,1367,18,1,1,1,4
569647000,569647,274705,1367,18,1,1,1,4
569648000,569648,274577,1367,18,1,1,1,4
569649000,569649,274449,1367,18,1,1,1,4
569650000,569650,274321,1367,18,1,1,1,4
569651000,569651,274193,1367,18,1,1,1,4
569652000,569652,274065,1367,18,1,1,1,4
569653000,569653,273937,1367,18,1,1,1,4
569654000,569654,273810,1367,18,1,1,1,4
569655000,569655,273682,1367,18,1,1,1,4
569656000,569656,273554,1367,18,1,1,1,4
569657000,569657,273426,1367,18,1,1,1,4
569658000,569658,273300,1367,18,1,1,1,4
569659000,569659,273174,1367,18,1,1,1,4
569660000,569660,273047,1367,18,1,1,1,4
569661000,569661,272920,1367,18,1,1,1,4
569662000,569662,272794,1367,18,1,1,1,4
569663000,569663,272667,1367,18,1,1,1,4
569664000,569664,272540,1367,18,1,1,1,4
569665000,569665,272413,1367,18,1,1,1,4
