iTOW,TOD,fTOD,Nt,N4,todValid,dateValid,tAcc
569587000,61969,282547,678,8,1,1,11
569588000,61970,282413,678,8,1,1,10
569589000,61971,282279,678,8,1,1,10
569590000,61972,282145,678,8,1,1,9
569591000,61973,282012,678,8,1,1,8
569592000,61974,281878,678,8,1,1,8
569593000,61975,281745,678,8,1,1,8
569594000,61976,281612,678,8,1,1,7
569595000,61977,281479,678,8,1,1,7
569596000,61978,281346,678,8,1,1,7
569597000,61979,281213,678,8,1,1,7
569598000,61980,281080,678,8,1,1,6
569599000,61981,280947,678,8,1,1,6
569600000,61982,280814,678,8,1,1,6
569601000,61983,280681,678,8,1,1,6
569602000,61984,280548,678,8,1,1,6
569603000,61985,280415,678,8,1,1,6
569604000,61986,280282,678,8,1,1,6
569605000,61987,280150,678,8,1,1,5
569606000,61988,280018,678,8,1,1,5
569607000,61989,279886,678,8,1,1,5
569608000,61990,279754,678,8,1,1,5
569609000,61991,279622,678,8,1,1,5
569610000,61992,279490,678,8,1,1,5
569611000,61993,279358,678,8,1,1,5
569612000,61994,279226,678,8,1,1,5
569613000,61995,279094,678,8,1,1,5
569614000,61996,278962,678,8,1,1,5
569615000,61997,278830,678,8,1,1,5
569616000,61998,278698,678,8,1,1,4
569617000,61999,278566,678,8,1,1,4
569618000,62000,278435,678,8,1,1,4
569619000,62001,278304,678,8,1,1,4
569620000,62002,278173,678,8,1,1,4
569621000,62003,278043,678,8,1,1,4
569622000,62004,277912,678,8,1,1,4
569623000,62005,277782,678,8,1,1,4
569624000,62006,277649,678,8,1,1,4
569625000,62007,277518,678,8,1,1,4
569626000,62008,277389,678,8,1,1,4
569627000,62009,277260,678,8,1,1,4
569628000,62010,277132,678,8,1,1,4
569629000,62011,277002,678,8,1,1,4
569630000,62012,276873,678,8,1,1,4
569631000,62013,276745,678,8,1,1,4
569632000,62014,276616,678,8,1,1,4
569633000,62015,276487,678,8,1,1,4
569634000,62016,276358,678,8,1,1,4
569635000,62017,276229,678,8,1,1,4
569636000,62018,276100,678,8,1,1,4
569637000,62019,275970,678,8,1,1,4
569638000,62020,275841,678,8,1,1,4
569639000,62021,275713,678,8,1,1,4
569640000,62022,275584,678,8,1,1,4
569641000,62023,275455,678,8,1,1,4
569642000,62024,275326,678,8,1,1,4
569643000,62025,275197,678,8,1,1,4
569644000,62026,275068,678,8,1,1,4
569645000,62027,274939,678,8,1,1,4
569646000,62028,274811,678,8,1,1,4
569647000,62029,274683,678,8,1,1,4
569648000,62030,274555,678,8,1,1,4
569649000,62031,274427,678,8,1,1,4
569650000,62032,274298,678,8,1,1,4
569651000,62033,274170,678,8,1,1,4
569652000,62034,274043,678,8,1,1,4
569653000,62035,273915,678,8,1,1,4
569654000,62036,273787,678,8,1,1,4
569655000,62037,273659,678,8,1,1,4
569656000,62038,273531,678,8,1,1,4
569657000,62039,273404,678,8,1,1,4
569658000,62040,273277,678,8,1,1,4
569659000,62041,273151,678,8,1,1,4
569660000,62042,273025,678,8,1,1,4
569661000,62043,272898,678,8,1,1,4
569662000,62044,272771,678,8,1,1,4
569663000,62045,272644,678,8,1,1,4
569664000,62046,272517,678,8,1,1,4
569665000,62047,272390,678,8,1,1,4
