iTOW,fTOW,week,leapS,towValid,weekValid,leapSValid,tAcc
569587000,282562,2391,18,1,1,1,4
569588000,282429,2391,18,1,1,1,4
569589000,282295,2391,18,1,1,1,4
569590000,282161,2391,18,1,1,1,4
569591000,282027,2391,18,1,1,1,3
569592000,281894,2391,18,1,1,1,3
569593000,281761,2391,18,1,1,1,3
569594000,281628,2391,18,1,1,1,3
569595000,281495,2391,18,1,1,1,3
569596000,281361,2391,18,1,1,1,3
569597000,281228,2391,18,1,1,1,3
569598000,281096,2391,18,1,1,1,3
569599000,280963,2391,18,1,1,1,3
569600000,280830,2391,18,1,1,1,3
569601000,280697,2391,18,1,1,1,3
569602000,280564,2391,18,1,1,1,3
569603000,280430,2391,18,1,1,1,3
569604000,280297,2391,18,1,1,1,3
569605000,280165,2391,18,1,1,1,3
569606000,280033,2391,18,1,1,1,3
569607000,279901,2391,18,1,1,1,3
569608000,279769,2391,18,1,1,1,3
569609000,279637,2391,18,1,1,1,3
569610000,279505,2391,18,1,1,1,3
569611000,279373,2391,18,1,1,1,3
569612000,279241,2391,18,1,1,1,3
569613000,279109,2391,18,1,1,1,3
569614000,278977,2391,18,1,1,1,3
569615000,278845,2391,18,1,1,1,3
569616000,278713,2391,18,1,1,1,2
569617000,278582,2391,18,1,1,1,2
569618000,278450,2391,18,1,1,1,2
569619000,278319,2391,18,1,1,1,2
569620000,278189,2391,18,1,1,1,2
569621000,278058,2391,18,1,1,1,2
569622000,277928,2391,18,1,1,1,2
569623000,277798,2391,18,1,1,1,2
569624000,277664,2391,18,1,1,1,2
569625000,277533,2391,18,1,1,1,2
569626000,277404,2391,18,1,1,1,3
569627000,277276,2391,18,1,1,1,3
569628000,277147,2391,18,1,1,1,3
569629000,277018,2391,18,1,1,1,3
569630000,276889,2391,18,1,1,1,2
569631000,276760,2391,18,1,1,1,2
569632000,276632,2391,18,1,1,1,2
569633000,276503,2391,18,1,1,1,2
569634000,276374,2391,18,1,1,1,2
569635000,276245,2391,18,1,1,1,2
569636000,276116,2391,18,1,1,1,2
569637000,275986,2391,18,1,1,1,2
569638000,275858,2391,18,1,1,1,2
569639000,275729,2391,18,1,1,1,2
569640000,275600,2391,18,1,1,1,2
569641000,275471,2391,18,1,1,1,2
569642000,275342,2391,18,1,1,1,2
569643000,275213,2391,18,1,1,1,2
569644000,275084,2391,18,1,1,1,2
569645000,274956,2391,18,1,1,1,2
569646000,274827,2391,18,1,1,1,2
569647000,274699,2391,18,1,1,1,2
569648000,274571,2391,18,1,1,1,2
569649000,274443,2391,18,1,1,1,2
569650000,274315,2391,18,1,1,1,2
569651000,274187,2391,18,1,1,1,3
569652000,274059,2391,18,1,1,1,3
569653000,273932,2391,18,1,1,1,3
569654000,273804,2391,18,1,1,1,3
569655000,273677,2391,18,1,1,1,3
569656000,273548,2391,18,1,1,1,2
569657000,273421,2391,18,1,1,1,2
569658000,273294,2391,18,1,1,1,2
569659000,273168,2391,18,1,1,1,2
569660000,273041,2391,18,1,1,1,2
569661000,272915,2391,18,1,1,1,2
569662000,272788,2391,18,1,1,1,2
569663000,272661,2391,18,1,1,1,2
569664000,272534,2391,18,1,1,1,2
569665000,272407,2391,18,1,1,1,2
