iTOW,version,reserved0,srcOfCurrLs,currLs,srcOfLsChange,lsChange,timeToLsEvent,dateOfLsGpsWn,dateOfLsGpsDn,reserved1,validCurrLs,validTimeToLsEvent
569587000,0,0,1,18,0,0,0,0,0,0,1,0
569588000,0,0,5,18,5,0,30275230,2441,7,0,1,1
569589000,0,0,5,18,5,0,30275229,2441,7,0,1,1
569590000,0,0,5,18,5,0,30275228,2441,7,0,1,1
569591000,0,0,5,18,5,0,30275227,2441,7,0,1,1
569592000,0,0,5,18,5,0,30275226,2441,7,0,1,1
569593000,0,0,5,18,5,0,30275225,2441,7,0,1,1
569594000,0,0,5,18,5,0,30275224,2441,7,0,1,1
569595000,0,0,5,18,5,0,30275223,2441,7,0,1,1
569596000,0,0,5,18,5,0,30275222,2441,7,0,1,1
569597000,0,0,5,18,5,0,30275221,2441,7,0,1,1
569598000,0,0,5,18,5,0,30275220,2441,7,0,1,1
569599000,0,0,5,18,5,0,30275219,2441,7,0,1,1
569600000,0,0,5,18,5,0,30275218,2441,7,0,1,1
569601000,0,0,5,18,5,0,30275217,2441,7,0,1,1
569602000,0,0,5,18,5,0,30275216,2441,7,0,1,1
569603000,0,0,5,18,5,0,30275215,2441,7,0,1,1
569604000,0,0,5,18,5,0,30275214,2441,7,0,1,1
569605000,0,0,5,18,5,0,30275213,2441,7,0,1,1
569606000,0,0,5,18,5,0,30275212,2441,7,0,1,1
569607000,0,0,5,18,5,0,30275211,2441,7,0,1,1
569608000,0,0,5,18,5,0,30275210,2441,7,0,1,1
569609000,0,0,5,18,5,0,30275209,2441,7,0,1,1
569610000,0,0,5,18,5,0,30275208,2441,7,0,1,1
569611000,0,0,5,18,5,0,30275207,2441,7,0,1,1
569612000,0,0,5,18,5,0,30275206,2441,7,0,1,1
569613000,0,0,5,18,5,0,30275205,2441,7,0,1,1
569614000,0,0,5,18,5,0,30275204,2441,7,0,1,1
569615000,0,0,5,18,5,0,30275203,2441,7,0,1,1
569616000,0,0,5,18,5,0,30275202,2441,7,0,1,1
569617000,0,0,5,18,5,0,30275201,2441,7,0,1,1
569618000,0,0,5,18,5,0,30275200,2441,7,0,1,1
569619000,0,0,5,18,5,0,30275199,2441,7,0,1,1
569620000,0,0,5,18,5,0,30275198,2441,7,0,1,1
569621000,0,0,5,18,5,0,30275197,2441,7,0,1,1
569622000,0,0,5,18,5,0,30275196,2441,7,0,1,1
569623000,0,0,5,18,5,0,30275195,2441,7,0,1,1
569624000,0,0,5,18,5,0,30275194,2441,7,0,1,1
569625000,0,0,5,18,5,0,30275193,2441,7,0,1,1
569626000,0,0,5,18,5,0,30275192,2441,7,0,1,1
569627000,0,0,5,18,5,0,30275191,2441,7,0,1,1
569628000,0,0,5,18,5,0,30275190,2441,7,0,1,1
569629000,0,0,5,18,5,0,30275189,2441,7,0,1,1
569630000,0,0,5,18,5,0,30275188,2441,7,0,1,1
569631000,0,0,5,18,5,0,30275187,2441,7,0,1,1
569632000,0,0,5,18,5,0,30275186,2441,7,0,1,1
569633000,0,0,5,18,5,0,30275185,2441,7,0,1,1
569634000,0,0,5,18,5,0,30275184,2441,7,0,1,1
569635000,0,0,5,18,5,0,30275183,2441,7,0,1,1
569636000,0,0,5,18,5,0,30275182,2441,7,0,1,1
569637000,0,0,5,18,5,0,30275181,2441,7,0,1,1
569638000,0,0,5,18,5,0,30275180,2441,7,0,1,1
569639000,0,0,5,18,5,0,30275179,2441,7,0,1,1
569640000,0,0,5,18,5,0,30275178,2441,7,0,1,1
569641000,0,0,5,18,5,0,30275177,2441,7,0,1,1
569642000,0,0,5,18,5,0,30275176,2441,7,0,1,1
569643000,0,0,5,18,5,0,30275175,2441,7,0,1,1
569644000,0,0,5,18,5,0,30275174,2441,7,0,1,1
569645000,0,0,5,18,5,0,30275173,2441,7,0,1,1
569646000,0,0,5,18,5,0,30275172,2441,7,0,1,1
569647000,0,0,5,18,5,0,30275171,2441,7,0,1,1
569648000,0,0,5,18,5,0,30275170,2441,7,0,1,1
569649000,0,0,5,18,5,0,30275169,2441,7,0,1,1
569650000,0,0,5,18,5,0,30275168,2441,7,0,1,1
569651000,0,0,5,18,5,0,30275167,2441,7,0,1,1
569652000,0,0,5,18,5,0,30275166,2441,7,0,1,1
569653000,0,0,5,18,5,0,30275165,2441,7,0,1,1
569654000,0,0,5,18,5,0,30275164,2441,7,0,1,1
569655000,0,0,5,18,5,0,30275163,2441,7,0,1,1
569656000,0,0,5,18,5,0,30275162,2441,7,0,1,1
569657000,0,0,5,18,5,0,30275161,2441,7,0,1,1
569658000,0,0,5,18,5,0,30275160,2441,7,0,1,1
569659000,0,0,5,18,5,0,30275159,2441,7,0,1,1
569660000,0,0,5,18,5,0,30275158,2441,7,0,1,1
569661000,0,0,5,18,5,0,30275157,2441,7,0,1,1
569662000,0,0,5,18,5,0,30275156,2441,7,0,1,1
569663000,0,0,5,18,5,0,30275155,2441,7,0,1,1
569664000,0,0,5,18,5,0,30275154,2441,7,0,1,1
569665000,0,0,5,18,5,0,30275153,2441,7,0,1,1
