iTOW,qzssTow,fQzssTow,qzssWno,leapS,qzssTowValid,qzssWnoValid,leapSValid,tAcc
569587000,569587,282562,2391,18,1,1,1,17
569588000,569588,282428,2391,18,1,1,1,17
569589000,569589,282295,2391,18,1,1,1,17
569590000,569590,282161,2391,18,1,1,1,17
569591000,569591,282027,2391,18,1,1,1,17
569592000,569592,281894,2391,18,1,1,1,17
569593000,569593,281761,2391,18,1,1,1,17
569594000,569594,281628,2391,18,1,1,1,17
569595000,569595,281495,2391,18,1,1,1,16
569596000,569596,281361,2391,18,1,1,1,16
569597000,569597,281228,2391,18,1,1,1,16
569598000,569598,281096,2391,18,1,1,1,16
569599000,569599,280963,2391,18,1,1,1,16
569600000,569600,280830,2391,18,1,1,1,16
569601000,569601,280697,2391,18,1,1,1,16
569602000,569602,280564,2391,18,1,1,1,16
569603000,569603,280430,2391,18,1,1,1,16
569604000,569604,280297,2391,18,1,1,1,16
569605000,569605,280165,2391,18,1,1,1,16
569606000,569606,280033,2391,18,1,1,1,16
569607000,569607,279901,2391,18,1,1,1,16
569608000,569608,279769,2391,18,1,1,1,16
569609000,569609,279637,2391,18,1,1,1,16
569610000,569610,279505,2391,18,1,1,1,16
569611000,569611,279373,2391,18,1,1,1,16
569612000,569612,279241,2391,18,1,1,1,16
569613000,569613,279109,2391,18,1,1,1,16
569614000,569614,278977,2391,18,1,1,1,16
569615000,569615,278845,2391,18,1,1,1,16
569616000,569616,278713,2391,18,1,1,1,16
569617000,569617,278582,2391,18,1,1,1,16
569618000,569618,278450,2391,18,1,1,1,16
569619000,569619,278319,2391,18,1,1,1,16
569620000,569620,278189,2391,18,1,1,1,16
569621000,569621,278058,2391,18,1,1,1,16
569622000,569622,277928,2391,18,1,1,1,16
569623000,569623,277798,2391,18,1,1,1,16
569624000,569624,277664,2391,18,1,1,1,16
569625000,569625,277533,2391,18,1,1,1,16
569626000,569626,277404,2391,18,1,1,1,16
569627000,569627,277276,2391,18,1,1,1,16
569628000,569628,277147,2391,18,1,1,1,16
569629000,569629,277018,2391,18,1,1,1,16
569630000,569630,276889,2391,18,1,1,1,16
569631000,569631,276760,2391,18,1,1,1,16
569632000,569632,276632,2391,18,1,1,1,16
569633000,569633,276503,2391,18,1,1,1,16
569634000,569634,276373,2391,18,1,1,1,16
569635000,569635,276245,2391,18,1,1,1,16
569636000,569636,276115,2391,18,1,1,1,16
569637000,569637,275986,2391,18,1,1,1,16
569638000,569638,275858,2391,18,1,1,1,16
569639000,569639,275729,2391,18,1,1,1,16
569640000,569640,275600,2391,18,1,1,1,16
569641000,569641,275471,2391,18,1,1,1,16
569642000,569642,275342,2391,18,1,1,1,16
569643000,569643,275213,2391,18,1,1,1,16
569644000,569644,275084,2391,18,1,1,1,16
569645000,569645,274956,2391,18,1,1,1,16
569646000,569646,274827,2391,18,1,1,1,16
569647000,569647,274699,2391,18,1,1,1,16
569648000,569648,274571,2391,18,1,1,1,16
569649000,569649,274443,2391,18,1,1,1,16
569650000,569650,274315,2391,18,1,1,1,16
569651000,569651,274187,2391,18,1,1,1,16
569652000,569652,274059,2391,18,1,1,1,16
569653000,569653,273932,2391,18,1,1,1,16
569654000,569654,273804,2391,18,1,1,1,16
569655000,569655,273676,2391,18,1,1,1,16
569656000,569656,273548,2391,18,1,1,1,16
569657000,569657,273421,2391,18,1,1,1,16
569658000,569658,273294,2391,18,1,1,1,16
569659000,569659,273168,2391,18,1,1,1,16
569660000,569660,273042,2391,18,1,1,1,16
569661000,569661,272915,2391,18,1,1,1,16
569662000,569662,272788,2391,18,1,1,1,16
569663000,569663,272661,2391,18,1,1,1,16
569664000,569664,272534,2391,18,1,1,1,16
569665000,569665,272407,2391,18,1,1,1,16
