iTOW,tAcc,nano,year,month,day,hour,min,sec,validTOW,validWKN,validUTC,authStatus,utcStandard
569587000,1004,282562,2025,11,8,14,12,49,1,1,1,0,15
569588000,1004,282428,2025,11,8,14,12,50,1,1,1,0,15
569589000,1004,282294,2025,11,8,14,12,51,1,1,1,0,15
569590000,1004,282160,2025,11,8,14,12,52,1,1,1,0,15
569591000,1003,282027,2025,11,8,14,12,53,1,1,1,0,15
569592000,1003,281894,2025,11,8,14,12,54,1,1,1,0,15
569593000,1003,281760,2025,11,8,14,12,55,1,1,1,0,15
569594000,1003,281627,2025,11,8,14,12,56,1,1,1,0,15
569595000,1003,281494,2025,11,8,14,12,57,1,1,1,0,15
569596000,1003,281361,2025,11,8,14,12,58,1,1,1,0,15
569597000,1003,281228,2025,11,8,14,12,59,1,1,1,0,15
569598000,1003,281095,2025,11,8,14,13,0,1,1,1,0,15
569599000,1003,280962,2025,11,8,14,13,1,1,1,1,0,15
569600000,1003,280829,2025,11,8,14,13,2,1,1,1,0,15
569601000,1003,280696,2025,11,8,14,13,3,1,1,1,0,15
569602000,1003,280563,2025,11,8,14,13,4,1,1,1,0,15
569603000,1003,280430,2025,11,8,14,13,5,1,1,1,0,15
569604000,1003,280297,2025,11,8,14,13,6,1,1,1,0,15
569605000,1003,280164,2025,11,8,14,13,7,1,1,1,0,15
569606000,1003,280033,2025,11,8,14,13,8,1,1,1,0,15
569607000,1003,279901,2025,11,8,14,13,9,1,1,1,0,15
569608000,1003,279769,2025,11,8,14,13,10,1,1,1,0,15
569609000,1003,279637,2025,11,8,14,13,11,1,1,1,0,15
569610000,1003,279505,2025,11,8,14,13,12,1,1,1,0,15
569611000,1003,279373,2025,11,8,14,13,13,1,1,1,0,15
569612000,1003,279241,2025,11,8,14,13,14,1,1,1,0,15
569613000,1003,279109,2025,11,8,14,13,15,1,1,1,0,15
569614000,1003,278977,2025,11,8,14,13,16,1,1,1,0,15
569615000,1003,278844,2025,11,8,14,13,17,1,1,1,0,15
569616000,1002,278713,2025,11,8,14,13,18,1,1,1,0,15
569617000,1002,278581,2025,11,8,14,13,19,1,1,1,0,15
569618000,1002,278450,2025,11,8,14,13,20,1,1,1,0,15
569619000,1002,278319,2025,11,8,14,13,21,1,1,1,0,15
569620000,1002,278188,2025,11,8,14,13,22,1,1,1,0,15
569621000,1002,278057,2025,11,8,14,13,23,1,1,1,0,15
569622000,1002,277927,2025,11,8,14,13,24,1,1,1,0,15
569623000,1002,277797,2025,11,8,14,13,25,1,1,1,0,15
569624000,1002,277664,2025,11,8,14,13,26,1,1,1,0,15
569625000,1002,277533,2025,11,8,14,13,27,1,1,1,0,15
569626000,1003,277404,2025,11,8,14,13,28,1,1,1,0,15
569627000,1003,277275,2025,11,8,14,13,29,1,1,1,0,15
569628000,1003,277146,2025,11,8,14,13,30,1,1,1,0,15
569629000,1003,277017,2025,11,8,14,13,31,1,1,1,0,15
569630000,1002,276889,2025,11,8,14,13,32,1,1,1,0,15
569631000,1002,276760,2025,11,8,14,13,33,1,1,1,0,15
569632000,1002,276631,2025,11,8,14,13,34,1,1,1,0,15
569633000,1002,276502,2025,11,8,14,13,35,1,1,1,0,15
569634000,1002,276373,2025,11,8,14,13,36,1,1,1,0,15
569635000,1002,276244,2025,11,8,14,13,37,1,1,1,0,15
569636000,1002,276115,2025,11,8,14,13,38,1,1,1,0,15
569637000,1002,275986,2025,11,8,14,13,39,1,1,1,0,15
569638000,1002,275857,2025,11,8,14,13,40,1,1,1,0,15
569639000,1002,275728,2025,11,8,14,13,41,1,1,1,0,15
569640000,1002,275600,2025,11,8,14,13,42,1,1,1,0,15
569641000,1002,275471,2025,11,8,14,13,43,1,1,1,0,15
569642000,1002,275342,2025,11,8,14,13,44,1,1,1,0,15
569643000,1002,275213,2025,11,8,14,13,45,1,1,1,0,15
569644000,1002,275084,2025,11,8,14,13,46,1,1,1,0,15
569645000,1002,274955,2025,11,8,14,13,47,1,1,1,0,15
569646000,1002,274827,2025,11,8,14,13,48,1,1,1,0,15
569647000,1002,274699,2025,11,8,14,13,49,1,1,1,0,15
569648000,1002,274571,2025,11,8,14,13,50,1,1,1,0,15
569649000,1002,274443,2025,11,8,14,13,51,1,1,1,0,15
569650000,1002,274315,2025,11,8,14,13,52,1,1,1,0,15
569651000,1003,274187,2025,11,8,14,13,53,1,1,1,0,15
569652000,1003,274059,2025,11,8,14,13,54,1,1,1,0,15
569653000,1003,273931,2025,11,8,14,13,55,1,1,1,0,15
569654000,1003,273804,2025,11,8,14,13,56,1,1,1,0,15
569655000,1003,273676,2025,11,8,14,13,57,1,1,1,0,15
569656000,1002,273548,2025,11,8,14,13,58,1,1,1,0,15
569657000,1002,273420,2025,11,8,14,13,59,1,1,1,0,15
569658000,1002,273294,2025,11,8,14,14,0,1,1,1,0,15
569659000,1002,273168,2025,11,8,14,14,1,1,1,1,0,15
569660000,1002,273041,2025,11,8,14,14,2,1,1,1,0,15
569661000,1002,272914,2025,11,8,14,14,3,1,1,1,0,15
569662000,1002,272787,2025,11,8,14,14,4,1,1,1,0,15
569663000,1002,272661,2025,11,8,14,14,5,1,1,1,0,15
569664000,1002,272534,2025,11,8,14,14,6,1,1,1,0,15
569665000,1002,272407,2025,11,8,14,14,7,1,1,1,0,15
