iTOW,velN,velE,velD,speed,gSpeed,heading,sAcc,cAcc
569587000,-1,-3,1,3,3,0.0,9,157.03866
569588000,0,0,1,1,0,0.0,12,180.0
569589000,3,-1,-1,4,3,0.0,9,135.88078
569590000,-1,-1,-1,2,2,0.0,11,180.0
569591000,1,2,0,2,2,0.0,7,180.0
569592000,6,43,-1,43,43,81.52461,8,8.8324
569593000,34,92,-12,99,98,69.74581,8,4.25105
569594000,23,110,-4,112,112,78.16655,9,3.39715
569595000,31,99,7,104,104,72.5118,8,3.56669
569596000,20,108,2,109,109,79.44706,8,3.15887
569597000,39,113,10,120,120,70.77167,8,3.26362
569598000,25,104,-1,107,107,76.36602,8,3.5452
569599000,35,114,4,119,119,72.97929,8,3.09122
569600000,45,116,2,124,124,68.54092,7,3.00269
569601000,39,117,8,124,123,71.64026,7,2.89992
569602000,41,104,-4,112,112,68.5307,7,3.41477
569603000,35,103,-1,109,109,71.23155,7,3.3559
569604000,51,98,-3,111,111,62.55352,7,3.82117
569605000,59,104,-15,120,119,60.32573,7,3.29223
569606000,46,99,-10,110,109,65.00606,6,3.22549
569607000,73,96,0,121,121,52.69633,6,3.54116
569608000,69,87,0,111,111,51.7947,6,3.25654
569609000,83,75,9,112,112,42.07422,6,3.24829
569610000,96,43,2,105,105,24.26687,6,3.54682
569611000,102,25,-4,105,105,13.50207,5,3.63475
569612000,103,25,2,106,106,13.73693,5,3.65274
569613000,109,24,5,112,111,12.17749,5,3.39753
569614000,116,21,14,118,118,10.52412,5,3.34263
569615000,115,18,7,116,116,8.86307,5,3.01093
569616000,114,9,14,115,114,4.27957,5,3.42408
569617000,117,20,24,121,119,9.52451,6,3.19024
569618000,103,22,11,105,105,11.9586,5,3.57093
569619000,106,20,7,108,108,10.39237,5,3.37038
569620000,120,13,-1,120,120,6.1463,6,3.38509
569621000,115,22,0,117,117,10.76723,5,3.21346
569622000,121,18,4,123,123,8.26874,5,2.52933
569623000,119,38,8,125,125,17.9446,6,3.56
569624000,117,34,35,126,121,16.21466,7,3.162
569625000,116,30,18,121,120,14.70819,6,3.34809
569626000,92,-34,15,99,98,339.70808,6,4.33635
569627000,19,-100,-1,102,102,281.05458,8,3.29068
569628000,-42,-103,-8,111,111,247.736,7,3.14453
569629000,-72,-106,-8,129,129,235.68628,6,2.81241
569630000,-89,-78,-5,118,118,221.05906,6,3.03304
569631000,-100,-61,-2,117,117,211.48594,5,3.14793
569632000,-101,-82,-15,131,130,219.08928,6,2.82833
569633000,-80,-101,-15,130,129,231.87488,6,2.83068
569634000,-63,-111,-7,128,127,240.4932,6,2.81294
569635000,-73,-72,-2,102,102,224.49476,6,3.66982
569636000,-75,-102,-4,127,127,233.5636,6,2.70426
569637000,-73,-124,3,144,144,239.61038,6,2.34633
569638000,-66,-116,3,134,134,240.38752,6,2.34346
569639000,-60,-103,-2,119,119,239.84614,7,3.03799
569640000,-68,-106,-7,126,126,237.60982,7,3.06332
569641000,-77,-102,-10,128,127,232.85012,7,3.34693
569642000,-90,-93,-11,130,129,226.22444,7,3.29075
569643000,-87,-105,-6,136,136,230.3701,7,3.12203
569644000,-87,-108,-5,139,139,231.03574,7,3.49094
569645000,-102,-84,-4,132,132,219.54172,7,3.9966
569646000,-93,-86,-5,126,126,222.75386,7,3.82307
569647000,-81,-80,6,114,114,224.74288,8,4.58833
569648000,-62,-108,10,125,125,240.13472,9,4.18542
569649000,-81,-97,-3,127,127,229.96452,8,4.3355
569650000,-92,-84,-10,125,124,222.5817,7,4.17692
569651000,-95,-56,-5,110,110,210.47904,7,5.0091
569652000,-129,-39,2,135,135,196.64392,6,4.19231
569653000,-129,-9,9,130,130,184.0607,6,4.1391
569654000,-130,17,4,131,131,172.70312,6,3.22861
569655000,-134,0,12,135,134,180.04026,6,2.93545
569656000,-122,-11,6,123,123,185.00844,6,3.13578
569657000,-73,5,8,74,74,176.0626,6,6.19788
569658000,-12,-3,-1,12,12,194.74304,6,34.48853
569659000,-1,5,1,5,5,181.4483,9,74.02274
569660000,0,0,1,1,0,181.4483,10,180.0
569661000,0,0,1,1,0,181.4483,13,180.0
569662000,-1,2,2,3,2,181.4483,12,180.0
569663000,1,-1,1,1,1,181.4483,9,180.0
569664000,1,0,0,1,1,181.4483,8,180.0
569665000,0,0,2,2,0,181.4483,14,180.0
