x(m),y(m),z(m),dtr(m)
-2.418245285391659476e+06,5.385766337140592746e+06,2.405763469480213244e+06,-2.807805607145537157e+06
-2.418244810465087648e+06,5.385766498891199008e+06,2.405763689102456439e+06,-2.807799201977575663e+06
-2.418244503296548035e+06,5.385766292431050912e+06,2.405763689367066137e+06,-2.807793170673374087e+06
-2.418244112934662495e+06,5.385765967112956569e+06,2.405763744719271548e+06,-2.807787083461949136e+06
-2.418244315535007045e+06,5.385766121157924645e+06,2.405763883882449940e+06,-2.807780539284142200e+06
-2.418244485617512371e+06,5.385765942412510514e+06,2.405763936348093208e+06,-2.807767922444473021e+06
-2.418244648352203425e+06,5.385766089408742264e+06,2.405764473909960128e+06,-2.807761227739999536e+06
-2.418245187365242280e+06,5.385766307766948827e+06,2.405764737777887844e+06,-2.807754384640168399e+06
-2.418245089828513563e+06,5.385766178950829431e+06,2.405764786118678283e+06,-2.807748224373238627e+06
-2.418245463268888649e+06,5.385766181834449060e+06,2.405764677767172456e+06,-2.807735600336082745e+06
-2.418245735320460983e+06,5.385765753992179409e+06,2.405764803853859194e+06,-2.807729207929993980e+06
-2.418246083127377555e+06,5.385765874564123340e+06,2.405764800820328295e+06,-2.807722734267849941e+06
-2.418246144374920521e+06,5.385765708627683111e+06,2.405764675348960329e+06,-2.807716590488959569e+06
-2.418246842311802320e+06,5.385766034995147958e+06,2.405764960012644995e+06,-2.807709732522037812e+06
-2.418246919463721104e+06,5.385765882675214671e+06,2.405764945672877133e+06,-2.807703487760514952e+06
-2.418247411258862354e+06,5.385766440949717537e+06,2.405765106165438425e+06,-2.807696762050217949e+06
-2.418247544304812327e+06,5.385766566525000148e+06,2.405765082494648639e+06,-2.807690340869594365e+06
-2.418248089834576938e+06,5.385765002399719320e+06,2.405764755262651946e+06,-2.807684649263346568e+06
-2.418248081429021899e+06,5.385764851586070843e+06,2.405765089222120587e+06,-2.807678184245155193e+06
-2.418248626672146842e+06,5.385764906157366000e+06,2.405765124484506436e+06,-2.807671593857237604e+06
-2.418248759838631377e+06,5.385764978543916717e+06,2.405765226389115676e+06,-2.807665109676654916e+06
-2.418249064087051433e+06,5.385765189711570740e+06,2.405765532366909087e+06,-2.807658525192488451e+06
-2.418248877098009922e+06,5.385764969984833151e+06,2.405765663755184039e+06,-2.807652382525340654e+06
-2.418249181865630671e+06,5.385764855021730065e+06,2.405766035907256883e+06,-2.807645961839036085e+06
-2.418249365976540372e+06,5.385765161915255710e+06,2.405766114123923238e+06,-2.807639441502050497e+06
-2.418249517548274714e+06,5.385764778509842232e+06,2.405766330176899675e+06,-2.807633197314694989e+06
-2.418249663674640935e+06,5.385764532963464968e+06,2.405766236891296692e+06,-2.807626949268705677e+06
-2.418249793775860686e+06,5.385764932961422950e+06,2.405766245696984697e+06,-2.807620326107695699e+06
-2.418249415273256600e+06,5.385763944988763891e+06,2.405766019026934635e+06,-2.807614591932829935e+06
-2.418249014737181831e+06,5.385763735876943916e+06,2.405766404866002966e+06,-2.807608328333830927e+06
-2.418248849461662583e+06,5.385763030527824536e+06,2.405766384913153481e+06,-2.807602564074201975e+06
-2.418249019640055951e+06,5.385763165112315677e+06,2.405766658346277662e+06,-2.807595910208495334e+06
-2.418249036504073068e+06,5.385763419515105896e+06,2.405766737714194227e+06,-2.807589390845813323e+06
-2.418249100787964649e+06,5.385762613979177549e+06,2.405766372128630523e+06,-2.807583502243029885e+06
-2.418248703417441342e+06,5.385761523807888851e+06,2.405766107320318930e+06,-2.807578023953716271e+06
-2.418248743711997755e+06,5.385761729537665844e+06,2.405766138840268832e+06,-2.807571763906640466e+06
-2.418248740252484567e+06,5.385762165932815522e+06,2.405766446483881213e+06,-2.807565175054140855e+06
-2.418248623845777474e+06,5.385761569505592808e+06,2.405766417077528778e+06,-2.807559157153152395e+06
-2.418248686159130186e+06,5.385761017166894861e+06,2.405766385874044150e+06,-2.807553187285525724e+06
-2.418248756404819898e+06,5.385762246329741552e+06,2.405766398721793201e+06,-2.807546454044137616e+06
-2.418248892028389964e+06,5.385762050391228870e+06,2.405766333377168514e+06,-2.807540188497284427e+06
-2.418249066479978152e+06,5.385761966059699655e+06,2.405766790302276611e+06,-2.807533792522644158e+06
-2.418249475033392664e+06,5.385762042562959716e+06,2.405766795101862866e+06,-2.807527232028421480e+06
-2.418249444296103436e+06,5.385761821588783525e+06,2.405766665927108377e+06,-2.807521024394677952e+06
-2.418249268992515281e+06,5.385761240622422658e+06,2.405766444980957080e+06,-2.807515232121219859e+06
-2.418249376789100934e+06,5.385760924089509994e+06,2.405766384937335737e+06,-2.807509059002673253e+06
-2.418249756744441576e+06,5.385760875736677088e+06,2.405766458467072807e+06,-2.807502448994178791e+06
-2.418249491276592482e+06,5.385760463667138480e+06,2.405766490711390041e+06,-2.807496437507258728e+06
-2.418249713037902955e+06,5.385759980744418688e+06,2.405766244846360758e+06,-2.807490388020638376e+06
-2.418249568954904098e+06,5.385759594749477692e+06,2.405765963847320527e+06,-2.807484424473198596e+06
-2.418249483625316992e+06,5.385759109560685232e+06,2.405765609754485544e+06,-2.807478374760279432e+06
-2.418249233005078975e+06,5.385758353200807236e+06,2.405765493846517522e+06,-2.807472592372795567e+06
-2.418249342556704767e+06,5.385757939950037748e+06,2.405765269891187083e+06,-2.807466482460825704e+06
-2.418249409931148868e+06,5.385757693297510967e+06,2.405765188980530482e+06,-2.807460178321985994e+06
-2.418249431052021682e+06,5.385758611101267859e+06,2.405765435175406281e+06,-2.807453103640176822e+06
-2.418249282079822384e+06,5.385761561010081321e+06,2.405765924632817507e+06,-2.807445179883204401e+06
-2.418249766651824117e+06,5.385763743967949413e+06,2.405765861995565705e+06,-2.807437740685391705e+06
-2.418249761497680563e+06,5.385762990804050118e+06,2.405765709008388687e+06,-2.807431938765219878e+06
-2.418250164232334122e+06,5.385763549678076059e+06,2.405766005674860906e+06,-2.807425175515552051e+06
-2.418249998662511818e+06,5.385762884796371683e+06,2.405765594639677089e+06,-2.807419129562133458e+06
-2.418249724110323004e+06,5.385762776041617617e+06,2.405765329392594751e+06,-2.807412946251734160e+06
-2.418249810922123492e+06,5.385762574680389836e+06,2.405765114104571287e+06,-2.807406679607096594e+06
-2.418249480447198264e+06,5.385762129342994653e+06,2.405764604147813749e+06,-2.807400717871171888e+06
-2.418249503851321526e+06,5.385761793508109637e+06,2.405764552508879453e+06,-2.807394379846769851e+06
-2.418249013529504649e+06,5.385760585518762469e+06,2.405764227595870383e+06,-2.807389110418952070e+06
-2.418248318500587251e+06,5.385761270281339996e+06,2.405764181154837832e+06,-2.807382655247376300e+06
-2.418247727177061141e+06,5.385760500758367591e+06,2.405764322312068194e+06,-2.807376929593333509e+06
