lat(deg),lon(deg),h(m)
2.230465032135379744e+01,1.141804007697485730e+02,3.618030233825746933e+01
2.230465231721555952e+01,1.141803959220080174e+02,3.622019768207319856e+01
2.230465339615551912e+01,1.141803940232382644e+02,3.592964117529963630e+01
2.230465542373963572e+01,1.141803918604109356e+02,3.552814998304375393e+01
2.230465582034330652e+01,1.141803930417551669e+02,3.578776013205843043e+01
2.230465657876311170e+01,1.141803952581321369e+02,3.572126700324507453e+01
2.230466038184027866e+01,1.141803961145480599e+02,3.611103111854325221e+01
2.230466114695220270e+01,1.141804000186441925e+02,3.659974001703324120e+01
2.230466209050011273e+01,1.141803996671848864e+02,3.647240434920756513e+01
2.230466065199465930e+01,1.141804029619584497e+02,3.657523307785697853e+01
2.230466266115868024e+01,1.141804070713385926e+02,3.636508751389163763e+01
2.230466177056989352e+01,1.141804096713256058e+02,3.659750396830411034e+01
2.230466115513319636e+01,1.141804108732184915e+02,3.643304216086014691e+01
2.230466153318203837e+01,1.141804157549728131e+02,3.708102971093270384e+01
2.230466178130727783e+01,1.141804170435451624e+02,3.697626692096368828e+01
2.230466068627314158e+01,1.141804191783416655e+02,3.769473528675835894e+01
2.230465990911691065e+01,1.141804198570626454e+02,3.784215572653560145e+01
2.230466129971565437e+01,1.141804309046926988e+02,3.660457174065830799e+01
2.230466457314888373e+01,1.141804314297986878e+02,3.660085288908238255e+01
2.230466393169177053e+01,1.141804360401462617e+02,3.686692079595974292e+01
2.230466436979874345e+01,1.141804369313733218e+02,3.701715737765401570e+01
2.230466583877749187e+01,1.141804387855738980e+02,3.742681360322346507e+01
2.230466788597127703e+01,1.141804380035479625e+02,3.722037088810894545e+01
2.230467092675097973e+01,1.141804411588015427e+02,3.738008632018097899e+01
2.230467036223408428e+01,1.141804415688348087e+02,3.773856167787096183e+01
2.230467315323214450e+01,1.141804444349058798e+02,3.755441016893330186e+01
2.230467293644375815e+01,1.141804467047404898e+02,3.736713958099131361e+01
2.230467157674903689e+01,1.141804462664864985e+02,3.775738263245983717e+01
2.230467330333091880e+01,1.141804468428877328e+02,3.669406587649477558e+01
2.230467774296492323e+01,1.141804441280367826e+02,3.651223186358794237e+01
2.230468001361063912e+01,1.141804454687293173e+02,3.584671246569430281e+01
2.230468163834730788e+01,1.141804464403861061e+02,3.612857312113417407e+01
2.230468148235381776e+01,1.141804455783717174e+02,3.637980319445610888e+01
2.230468085634325703e+01,1.141804493497271551e+02,3.558553692593478246e+01
2.230468261031538901e+01,1.141804501653499955e+02,3.441433930646650197e+01
2.230468217385667984e+01,1.141804497042647313e+02,3.461520820229722517e+01
2.230468338453962573e+01,1.141804479388480473e+02,3.509897882817147519e+01
2.230468516704946325e+01,1.141804492792052912e+02,3.454032068836968250e+01
2.230468654580253229e+01,1.141804520265889096e+02,3.408591913864452749e+01
